Scenario,ISO,Year,Technology,wacc_projection
Below2,ARG,2025,Wind_Onshore,0.3572107153757143
Below2,ARG,2030,Wind_Onshore,0.0801604518036758
Below2,ARG,2035,Wind_Onshore,0.07521827489239148
Below2,ARG,2040,Wind_Onshore,0.08025557630276778
Below2,ARG,2045,Wind_Onshore,0.08226666161860692
Below2,ARG,2050,Wind_Onshore,0.0829183176198563
Below2,AUS,2025,Wind_Onshore,0.08106457249598054
Below2,AUS,2030,Wind_Onshore,0.08070352925703944
Below2,AUS,2035,Wind_Onshore,0.08008590310981531
Below2,AUS,2040,Wind_Onshore,0.07938627583206559
Below2,AUS,2045,Wind_Onshore,0.07899869154432826
Below2,AUS,2050,Wind_Onshore,0.07860941315625052
Below2,AUT,2025,Wind_Onshore,0.08374487926889691
Below2,AUT,2030,Wind_Onshore,0.08370105398608768
Below2,AUT,2035,Wind_Onshore,0.08457446878311434
Below2,AUT,2040,Wind_Onshore,0.0841828555534918
Below2,AUT,2045,Wind_Onshore,0.0844510998793553
Below2,AUT,2050,Wind_Onshore,0.08439511535413169
Below2,BEL,2025,Wind_Onshore,0.0823561211587629
Below2,BEL,2030,Wind_Onshore,0.0821370091629831
Below2,BEL,2035,Wind_Onshore,0.0825454992038958
Below2,BEL,2040,Wind_Onshore,0.08291363600858621
Below2,BEL,2045,Wind_Onshore,0.08321308431102055
Below2,BEL,2050,Wind_Onshore,0.08314053099776697
Below2,BGR,2025,Wind_Onshore,0.08183227056300309
Below2,BGR,2030,Wind_Onshore,0.07849185379771326
Below2,BGR,2035,Wind_Onshore,0.07900925268925452
Below2,BGR,2040,Wind_Onshore,0.07941489106012566
Below2,BGR,2045,Wind_Onshore,0.0804954738127302
Below2,BGR,2050,Wind_Onshore,0.08050307288300686
Below2,BRA,2025,Wind_Onshore,0.08676814536666322
Below2,BRA,2030,Wind_Onshore,0.0869350426273767
Below2,BRA,2035,Wind_Onshore,0.08686117142975164
Below2,BRA,2040,Wind_Onshore,0.08657913404498248
Below2,BRA,2045,Wind_Onshore,0.08675043125608699
Below2,BRA,2050,Wind_Onshore,0.08552203386124767
Below2,CAN,2025,Wind_Onshore,0.08292929121424403
Below2,CAN,2030,Wind_Onshore,0.08113370975962121
Below2,CAN,2035,Wind_Onshore,0.07938849982189658
Below2,CAN,2040,Wind_Onshore,0.0788132862787777
Below2,CAN,2045,Wind_Onshore,0.07890455664716559
Below2,CAN,2050,Wind_Onshore,0.07837020441064127
Below2,CHE,2025,Wind_Onshore,0.07520716853006304
Below2,CHE,2030,Wind_Onshore,0.07447689578888529
Below2,CHE,2035,Wind_Onshore,0.07450845861372163
Below2,CHE,2040,Wind_Onshore,0.07519455655890474
Below2,CHE,2045,Wind_Onshore,0.07606108878284439
Below2,CHE,2050,Wind_Onshore,0.07623533732436558
Below2,CHL,2025,Wind_Onshore,0.08757488901930074
Below2,CHL,2030,Wind_Onshore,0.0821501749951817
Below2,CHL,2035,Wind_Onshore,0.08069928489630065
Below2,CHL,2040,Wind_Onshore,0.08182646719301678
Below2,CHL,2045,Wind_Onshore,0.08344696191444399
Below2,CHL,2050,Wind_Onshore,0.08319137382476809
Below2,CHN,2025,Wind_Onshore,0.06529333674561445
Below2,CHN,2030,Wind_Onshore,0.05681867339098137
Below2,CHN,2035,Wind_Onshore,0.04733125230494067
Below2,CHN,2040,Wind_Onshore,0.03858870951499788
Below2,CHN,2045,Wind_Onshore,0.029090593422311267
Below2,CHN,2050,Wind_Onshore,0.020048561853397238
Below2,CZE,2025,Wind_Onshore,0.08047434875751777
Below2,CZE,2030,Wind_Onshore,0.08180568071848018
Below2,CZE,2035,Wind_Onshore,0.08053748494430411
Below2,CZE,2040,Wind_Onshore,0.08076971981861235
Below2,CZE,2045,Wind_Onshore,0.08154790942028411
Below2,CZE,2050,Wind_Onshore,0.08107177751485402
Below2,DEU,2025,Wind_Onshore,0.07371065077687039
Below2,DEU,2030,Wind_Onshore,0.07296809696185745
Below2,DEU,2035,Wind_Onshore,0.0725362218858468
Below2,DEU,2040,Wind_Onshore,0.07191914794834334
Below2,DEU,2045,Wind_Onshore,0.07153768577890832
Below2,DEU,2050,Wind_Onshore,0.07122882369333865
Below2,DNK,2025,Wind_Onshore,0.08303212880743605
Below2,DNK,2030,Wind_Onshore,0.08403934851910234
Below2,DNK,2035,Wind_Onshore,0.08428069816059829
Below2,DNK,2040,Wind_Onshore,0.08431939689990517
Below2,DNK,2045,Wind_Onshore,0.0844796090302524
Below2,DNK,2050,Wind_Onshore,0.08431804785772026
Below2,EGY,2025,Wind_Onshore,0.13868157289851388
Below2,EGY,2030,Wind_Onshore,0.08087342848628316
Below2,EGY,2035,Wind_Onshore,0.07823560273573775
Below2,EGY,2040,Wind_Onshore,0.07955212419283111
Below2,EGY,2045,Wind_Onshore,0.08013496288031535
Below2,EGY,2050,Wind_Onshore,0.07959372169033392
Below2,ESP,2025,Wind_Onshore,0.09180721429854338
Below2,ESP,2030,Wind_Onshore,0.0905241746746587
Below2,ESP,2035,Wind_Onshore,0.0909467946188526
Below2,ESP,2040,Wind_Onshore,0.0910217132842027
Below2,ESP,2045,Wind_Onshore,0.09097025503901834
Below2,ESP,2050,Wind_Onshore,0.09030518167527236
Below2,EST,2025,Wind_Onshore,0.08491845731572242
Below2,EST,2030,Wind_Onshore,0.08053705608811927
Below2,EST,2035,Wind_Onshore,0.08126803430475414
Below2,EST,2040,Wind_Onshore,0.08266194653952165
Below2,EST,2045,Wind_Onshore,0.08322491943822807
Below2,EST,2050,Wind_Onshore,0.08339040415765617
Below2,FIN,2025,Wind_Onshore,0.08663938131218228
Below2,FIN,2030,Wind_Onshore,0.0857015110695987
Below2,FIN,2035,Wind_Onshore,0.08526898617164957
Below2,FIN,2040,Wind_Onshore,0.08531685629057084
Below2,FIN,2045,Wind_Onshore,0.0859434114873259
Below2,FIN,2050,Wind_Onshore,0.0860874242368546
Below2,FRA,2025,Wind_Onshore,0.0820092940325839
Below2,FRA,2030,Wind_Onshore,0.08125374390743643
Below2,FRA,2035,Wind_Onshore,0.08143897007449687
Below2,FRA,2040,Wind_Onshore,0.08156129055176442
Below2,FRA,2045,Wind_Onshore,0.08140298847161413
Below2,FRA,2050,Wind_Onshore,0.08107831443831412
