country,year,technology,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore
Republic of Bulgaria,2015,wind onshore,0.0825,BGR,-0.027946046434215808,-0.9631817396369518,0.19932986291981863,-0.39047759899694423,0,1,0
Republic of Bulgaria,2015,solar pv,0.0825,BGR,-0.027946046434215808,-0.9631817396369518,0.19932986291981863,-0.39047759899694423,1,0,0
Republic of Bulgaria,2020,solar pv,0.0911,BGR,0.15803936990772297,-0.9170249384518888,-0.5187452556223764,-0.3911714326996706,1,0,0
Kingdom of Cambodia,2023,solar pv,0.20742,KHM,-0.2795210627889887,-1.216041370013613,-1.394446619698224,-0.36133972026053784,1,0,0
Kingdom of Cambodia,2016,solar pv,0.1,KHM,-0.2105114829375698,-1.2382192532400098,-1.306697768726542,-0.3658076440406566,1,0,0
Republic of South Africa,2011,solar pv,0.214,ZAF,0.3179583380018989,-1.014395628282502,2.9686907481686617,-0.26017983512579745,1,0,0
Republic of Chile,2023,solar pv,0.105031,CHL,0.4595146374505841,-0.6013684497684524,0.17609696958719398,-0.3549838200774181,1,0,0
Republic of Chile,2016,solar pv,0.041,CHL,0.18735528738885748,-0.6378866329954815,-0.24209511040004744,-0.358941376125496,1,0,0
Republic of Chile,2015,solar pv,0.043,CHL,0.23991011076399937,-0.6414896221814642,-0.3064323534750077,-0.3595658765098941,1,0,0
Republic of Chile,2020,solar pv,0.05746,CHL,0.8688117615642329,-0.6797023516429415,0.5194076472177455,-0.3558034519481614,1,0,0
Republic of Chile,2020,wind onshore,0.0631333333333333,CHL,0.8688117615642329,-0.6797023516429415,0.5194076472177455,-0.3558034519481614,0,1,0
People's Republic of China,2020,solar pv,0.03905,CHN,-0.35568863487015945,-0.7971836094946866,-0.5410845761345153,3.6020807093757115,1,0,0
People's Republic of China,2020,wind offshore,0.0278,CHN,-0.35568863487015945,-0.7971836094946866,-0.5410845761345153,3.6020807093757115,0,0,1
People's Republic of China,2020,wind onshore,0.03,CHN,-0.35568863487015945,-0.7971836094946866,-0.5410845761345153,3.6020807093757115,0,1,0
People's Republic of China,2016,solar pv,0.0752333333333333,CHN,-0.2335684089961024,-0.8904071946594848,-0.6197189843372446,3.535790321753356,1,0,0
People's Republic of China,2014,wind onshore,0.0618,CHN,-0.28379694738925715,-0.940204129984003,-0.6072089648504467,3.4904876244207035,0,1,0
People's Republic of China,2015,wind onshore,0.058,CHN,-0.42182282342767385,-0.9157213234368556,-0.6036346735685044,3.5132385082035795,0,1,0
People's Republic of China,2016,wind onshore,0.053,CHN,-0.2335684089961024,-0.8904071946594848,-0.6197189843372446,3.535790321753356,0,1,0
People's Republic of China,2017,wind onshore,0.0512,CHN,0.14357524147428827,-0.8632395275726092,-0.6358032951059847,3.5597498462371973,0,1,0
People's Republic of China,2018,wind onshore,0.0548,CHN,0.04573854613235241,-0.8345896726909879,-0.6643976253615225,3.578362913032063,0,1,0
People's Republic of China,2019,wind onshore,0.0572,CHN,-0.2496729467396305,-0.8074421813721206,-0.6197189843372446,3.592539557489268,0,1,0
People's Republic of China,2014,solar pv,0.0834,CHN,-0.28379694738925715,-0.940204129984003,-0.6072089648504467,3.4904876244207035,1,0,0
People's Republic of China,2015,solar pv,0.0932,CHN,-0.42182282342767385,-0.9157213234368556,-0.6036346735685044,3.5132385082035795,1,0,0
People's Republic of China,2017,solar pv,0.0843,CHN,0.14357524147428827,-0.8632395275726092,-0.6358032951059847,3.5597498462371973,1,0,0
People's Republic of China,2018,solar pv,0.0848,CHN,0.04573854613235241,-0.8345896726909879,-0.6643976253615225,3.578362913032063,1,0,0
People's Republic of China,2019,solar pv,0.0866,CHN,-0.2496729467396305,-0.8074421813721206,-0.6197189843372446,3.592539557489268,1,0,0
Republic of Colombia,2020,wind onshore,0.0596,COL,-0.22363988558548245,-1.0232626851133042,1.4217374813440629,-0.2669061566670886,0,1,0
Republic of Costa Rica,2023,solar pv,0.18033,CRI,-0.4331662896654162,-0.5966951810974154,0.05314134948838099,-0.3963714031356895,1,0,0
Republic of Costa Rica,2020,solar pv,0.0679,CRI,-0.3182992109633923,-0.7018138120263736,1.5019803206236655,-0.39657390022065947,1,0,0
Republic of Croatia,2014,wind onshore,0.12,HRV,-0.40453786709894096,-0.7209659036287608,1.6553174166189875,-0.39894204540134004,0,1,0
Republic of Croatia,2019,wind onshore,0.0783333333333333,HRV,-0.1560080873937246,-0.5803758045687791,-0.2521031259894857,-0.399659289763479,0,1,0
Republic of Croatia,2013,wind onshore,0.12,HRV,-0.32359920202897047,-0.7222117889291798,1.6483475486192005,-0.39885012045541535,0,1,0
Republic of Croatia,2015,solar pv,0.0783333333333333,HRV,-0.40482784765432517,-0.699632432677198,1.4560506776507083,-0.39908387725470296,1,0,0
Republic of Croatia,2015,wind onshore,0.0818,HRV,-0.40482784765432517,-0.699632432677198,1.4560506776507083,-0.39908387725470296,0,1,0
Republic of Croatia,2020,solar pv,0.0577,HRV,-0.3141922965026327,-0.6358682276415947,-0.09304716394305633,-0.3997593481503561,1,0,0
Republic of Croatia,2020,wind onshore,0.0597,HRV,-0.3141922965026327,-0.6358682276415947,-0.09304716394305633,-0.3997593481503561,0,1,0
Republic of Cyprus,2014,wind onshore,0.1,CYP,-0.6000695519586924,-0.17842399411372864,1.4742795631886136,-0.40747304951624264,0,1,0
Republic of Cyprus,2019,wind onshore,0.052,CYP,-0.24121119174379432,0.12751984556050622,-0.15595469050523955,-0.4072316910779111,0,1,0
Republic of Cyprus,2019,solar pv,0.05,CYP,-0.24121119174379432,0.12751984556050622,-0.15595469050523955,-0.4072316910779111,1,0,0
Republic of Cyprus,2013,wind onshore,0.1,CYP,-0.5466052113276767,-0.17049378324493644,1.4481872368304352,-0.4075239716818697,0,1,0
Republic of Cyprus,2015,wind onshore,0.1,CYP,-0.5221097257665915,-0.13259277144611878,1.2507076435031268,-0.40742271034201255,0,1,0
Republic of Cyprus,2015,solar pv,0.1,CYP,-0.5221097257665915,-0.13259277144611878,1.2507076435031268,-0.40742271034201255,1,0,0
Czech Republic,2014,wind onshore,0.08,CZE,-0.06012032147066302,-0.4549999439028263,-0.34306883911491565,-0.380958185579955,0,1,0
Czech Republic,2019,wind onshore,0.06,CZE,0.09133349902874115,-0.2908895444795927,-1.0745475499643937,-0.3805414946118902,0,1,0
Czech Republic,2018,wind onshore,0.06,CZE,-0.04588483001309701,-0.3224474911229038,-1.033264485657961,-0.38066077180784286,0,1,0
Czech Republic,2018,solar pv,0.0549999999999999,CZE,-0.04588483001309701,-0.3224474911229038,-1.033264485657961,-0.38066077180784286,1,0,0
Czech Republic,2019,solar pv,0.0549999999999999,CZE,0.09133349902874115,-0.2908895444795927,-1.0745475499643937,-0.3805414946118902,1,0,0
Czech Republic,2013,wind onshore,0.08,CZE,-0.251690275744637,-0.47313509331057463,-0.1920550324528561,-0.3809896813346919,0,1,0
Czech Republic,2015,wind onshore,0.08,CZE,-0.25663611960089244,-0.4138178589333731,-0.532506277057854,-0.3808992835418411,0,1,0
Czech Republic,2015,solar pv,0.073,CZE,-0.25663611960089244,-0.4138178589333731,-0.532506277057854,-0.3808992835418411,1,0,0
Kingdom of Denmark,2014,wind onshore,0.058,DNK,-0.2854464593750271,1.3293656064672983,-0.1970590402475753,-0.39484154839431473,0,1,0
Kingdom of Denmark,2019,wind onshore,0.025,DNK,-0.2945005580551513,1.5696205342490706,-0.5378677139807674,-0.3943553989780608,0,1,0
Kingdom of Denmark,2013,wind onshore,0.0575,DNK,-0.30837877929769764,1.3092203455894518,-0.11502905532700095,-0.3949227207037916,0,1,0
Kingdom of Denmark,2015,wind onshore,0.049875,DNK,-0.3668201940502233,1.3660979324231366,-0.3126873632184066,-0.3947277712245166,0,1,0
Kingdom of Denmark,2015,solar pv,0.045,DNK,-0.3668201940502233,1.3660979324231366,-0.3126873632184066,-0.3947277712245166,1,0,0
Kingdom of Denmark,2010,wind onshore,0.0505999999999999,DNK,0.0039723061470852,1.2707015998603743,-0.050334383123846485,-0.3951139674767309,0,1,0
Kingdom of Denmark,2016,wind onshore,0.03224,DNK,-0.36449619003114536,1.4271551068943986,-0.3643358722424719,-0.39460114264924157,0,1,0
Kingdom of Denmark,2020,solar pv,0.03285,DNK,-0.044074506756352175,1.5098857256674636,-0.4272433988046553,-0.39430710453951073,1,0,0
Kingdom of Denmark,2020,wind offshore,0.0476999999999999,DNK,-0.044074506756352175,1.5098857256674636,-0.4272433988046553,-0.39430710453951073,0,0,1
Kingdom of Denmark,2020,wind onshore,0.03192,DNK,-0.044074506756352175,1.5098857256674636,-0.4272433988046553,-0.39430710453951073,0,1,0
Kingdom of Denmark,2017,wind onshore,0.047,DNK,-0.2745123001615163,1.4930019315917946,-0.39221534424162124,-0.39449600512755995,0,1,0
Kingdom of Denmark,2012,wind offshore,0.09,DNK,-0.10001581658532695,1.2839255556538114,-0.04104122579079675,-0.39498915328443757,0,0,1
Kingdom of Denmark,2008,wind onshore,0.052,DNK,0.14645545474516578,1.390320603885863,-0.7764516570504115,-0.3952677122616146,0,1,0
Kingdom of Denmark,2008,wind offshore,0.092,DNK,0.14645545474516578,1.390320603885863,-0.7764516570504115,-0.3952677122616146,0,0,1
Arab Republic of Egypt,2023,solar pv,0.2653375,EGY,2.892376371763093,-1.1134017368234597,-0.12396478353185666,-0.08516704915713323,1,0,0
Kingdom of Bahrain,2023,solar pv,0.2518,BHR,-0.974563916728463,-0.052136282692664224,-1.228420789652007,-0.40640586812291835,1,0,0
Republic of El Salvador,2014,solar pv,0.048,SLV,-0.288847112391609,-1.1335129649438964,-0.6922770973606719,-0.39336421975587366,1,0,0
Republic of Estonia,2014,wind onshore,0.097,EST,-0.0401201398393031,-0.440034520182942,-0.12074792137810852,-0.4071524213110906,0,1,0
Republic of Estonia,2019,wind onshore,0.0806416666666666,EST,0.08884507531001383,-0.27976251611279584,-0.6279398542857116,-0.40711729110266937,0,1,0
Republic of Estonia,2019,solar pv,0.0720958333333333,EST,0.08884507531001383,-0.27976251611279584,-0.6279398542857116,-0.40711729110266937,1,0,0
Republic of Estonia,2013,wind onshore,0.097,EST,0.1290614199793005,-0.47061668262752265,0.10782800610209735,-0.40714260430473825,0,1,0
Republic of Estonia,2015,solar pv,0.0844999999999999,EST,-0.24703869161903053,-0.4244198300328687,-0.2887396116293936,-0.407149969903363,1,0,0
Republic of Estonia,2015,wind onshore,0.0818333333333333,EST,-0.24703869161903053,-0.4244198300328687,-0.2887396116293936,-0.407149969903363,0,1,0
Republic of Finland,2014,wind onshore,0.065,FIN,-0.20188885485391656,0.8299566224655602,0.11354687215320493,-0.3953590257775377,0,1,0
Republic of Finland,2019,wind onshore,0.0425,FIN,-0.223621940343397,1.00186579275127,-0.23816338998991093,-0.3951881268262817,0,1,0
Republic of Finland,2018,wind onshore,0.04,FIN,-0.15618468369835034,0.9734513640349773,-0.11913949030123462,-0.3952054203418171,0,1,0
Republic of Finland,2013,wind onshore,0.065,FIN,-0.0795187898920296,0.8492503963404519,0.029551027027562304,-0.3954231263925959,0,1,0
Republic of Finland,2015,wind onshore,0.038,FIN,-0.20348638917792583,0.8328853624562613,0.24097035635444544,-0.3953077822556772,0,1,0
Republic of Finland,2015,solar pv,0.06,FIN,-0.20348638917792583,0.8328853624562613,0.24097035635444544,-0.3953077822556772,1,0,0
Republic of Finland,2020,wind onshore,0.0369333333333333,FIN,-0.20272371530996774,0.9407377395291296,-0.048011093790584054,-0.39516555510570855,0,1,0
French Republic,2014,wind onshore,0.057,FRA,-0.34523650442349973,0.5232969150119802,0.4012773203495547,-0.2223085376614722,0,1,0
French Republic,2019,solar pv,0.0409125,FRA,-0.2598415777495388,0.637738875664528,0.06922566025712103,-0.21926562401867533,1,0,0
French Republic,2018,solar pv,0.0395375,FRA,-0.27264688719837316,0.6052022800543931,0.17699054240767967,-0.21990183257664017,1,0,0
French Republic,2018,wind onshore,0.0313333333333333,FRA,-0.27264688719837316,0.6052022800543931,0.17699054240767967,-0.21990183257664017,0,1,0
French Republic,2019,wind onshore,0.0299333333333333,FRA,-0.2598415777495388,0.637738875664528,0.06922566025712103,-0.21926562401867533,0,1,0
French Republic,2018,wind offshore,0.0425,FRA,-0.27264688719837316,0.6052022800543931,0.17699054240767967,-0.21990183257664017,0,0,1
French Republic,2019,wind offshore,0.04125,FRA,-0.2598415777495388,0.637738875664528,0.06922566025712103,-0.21926562401867533,0,0,1
French Republic,2015,wind onshore,0.0511666666666666,FRA,-0.2699976118929615,0.5363587298698922,0.41575320004142063,-0.22163680359848043,0,1,0
French Republic,2016,wind onshore,0.05,FRA,-0.3523829390042383,0.5473990137902125,0.3626749745045787,-0.2211367619238166,0,1,0
French Republic,2017,wind onshore,0.05,FRA,-0.3431610455640404,0.5808113297057838,0.24686793696965034,-0.22058529187636156,0,1,0
French Republic,2023,solar pv,0.061511175,FRA,0.2865243588029007,0.6586082815156971,-0.12378606896775948,-0.21669071880617602,1,0,0
French Republic,2013,wind onshore,0.057,FRA,-0.321598650558633,0.5137647828612947,0.3369400772745946,-0.22320189377111394,0,1,0
French Republic,2015,solar pv,0.0425,FRA,-0.2699976118929615,0.5363587298698922,0.41575320004142063,-0.22163680359848043,1,0,0
French Republic,2012,solar pv,0.133,FRA,-0.27699138757199654,0.5089662824662786,0.32407262865960235,-0.2241695827057953,1,0,0
French Republic,2014,solar pv,0.138,FRA,-0.34523650442349973,0.5232969150119802,0.4012773203495547,-0.2223085376614722,1,0,0
French Republic,2016,solar pv,0.037,FRA,-0.3523829390042383,0.5473990137902125,0.3626749745045787,-0.2211367619238166,1,0,0
French Republic,2020,solar pv,0.0335,FRA,-0.02391045795904498,0.48608169844982924,-0.003332452766306122,-0.21864267922595593,1,0,0
French Republic,2020,wind offshore,0.0355,FRA,-0.02391045795904498,0.48608169844982924,-0.003332452766306122,-0.21864267922595593,0,0,1
French Republic,2020,wind onshore,0.0299,FRA,-0.02391045795904498,0.48608169844982924,-0.003332452766306122,-0.21864267922595593,0,1,0
Federal Republic of Germany,2014,wind onshore,0.038,DEU,-0.16769574222340067,0.7836692468621399,-0.5448375819805547,-0.180587873133038,0,1,0
Federal Republic of Germany,2019,wind onshore,0.0191666666666666,DEU,-0.15232462751527703,0.916270734765278,-0.8693832303809095,-0.1745860136717659,0,1,0
Federal Republic of Germany,2018,wind onshore,0.0189666666666666,DEU,-0.17243325682448868,0.8993829965621142,-0.8298873117154478,-0.17511832747507577,0,1,0
Federal Republic of Germany,2017,wind onshore,0.043,DEU,-0.22547337686965432,0.8814723471165505,-0.7589376297688945,-0.17582582308351377,0,1,0
Federal Republic of Germany,2017,wind offshore,0.06,DEU,-0.22547337686965432,0.8814723471165505,-0.7589376297688945,-0.17582582308351377,0,0,1
Federal Republic of Germany,2018,wind offshore,0.06,DEU,-0.17243325682448868,0.8993829965621142,-0.8298873117154478,-0.17511832747507577,0,0,1
Federal Republic of Germany,2023,solar pv,0.038631564,DEU,0.398565390122335,0.9228080574444927,-0.8863611139701353,-0.1740541036966432,1,0,0
Federal Republic of Germany,2013,wind onshore,0.039,DEU,-0.15512043195136918,0.7475747647119999,-0.4846107738798281,-0.18154595550704203,0,1,0
Federal Republic of Germany,2015,wind onshore,0.03175,DEU,-0.19645230807723799,0.800016144434161,-0.6104258270041947,-0.1785854796916324,0,1,0
Federal Republic of Germany,2015,solar pv,0.035625,DEU,-0.19645230807723799,0.800016144434161,-0.6104258270041947,-0.1785854796916324,1,0,0
Federal Republic of Germany,2010,wind onshore,0.04881,DEU,-0.33032561831816915,0.62823411421356,-0.17597072168411607,-0.1783286250575842,0,1,0
Federal Republic of Germany,2016,wind onshore,0.0301299999999999,DEU,-0.25373650793639224,0.831251254514746,-0.7012128255655274,-0.17670267911469195,0,1,0
Federal Republic of Germany,2017,solar pv,0.009,DEU,-0.22547337686965432,0.8814723471165505,-0.7589376297688945,-0.17582582308351377,1,0,0
Federal Republic of Germany,2010,solar pv,0.046,DEU,-0.33032561831816915,0.62823411421356,-0.17597072168411607,-0.1783286250575842,1,0,0
Federal Republic of Germany,2012,solar pv,0.037,DEU,-0.230267240991986,0.7452466880976248,-0.47460275829038984,-0.18217098484948804,1,0,0
Federal Republic of Germany,2013,solar pv,0.042,DEU,-0.15512043195136918,0.7475747647119999,-0.4846107738798281,-0.18154595550704203,1,0,0
Federal Republic of Germany,2016,solar pv,0.029,DEU,-0.25373650793639224,0.831251254514746,-0.7012128255655274,-0.17670267911469195,1,0,0
Federal Republic of Germany,2019,solar pv,0.021,DEU,-0.15232462751527703,0.916270734765278,-0.8693832303809095,-0.1745860136717659,1,0,0
Federal Republic of Germany,2020,solar pv,0.01831,DEU,-0.18715522896032868,0.8228778979424803,-0.7410661733591833,-0.1743928899509145,1,0,0
Federal Republic of Germany,2020,wind offshore,0.03175,DEU,-0.18715522896032868,0.8228778979424803,-0.7410661733591833,-0.1743928899509145,0,0,1
Federal Republic of Germany,2020,wind onshore,0.0243571428571428,DEU,-0.18715522896032868,0.8228778979424803,-0.7410661733591833,-0.1743928899509145,0,1,0
Federal Republic of Germany,2014,wind offshore,0.05,DEU,-0.16769574222340067,0.7836692468621399,-0.5448375819805547,-0.180587873133038,0,0,1
Federal Republic of Germany,2018,solar pv,0.0155,DEU,-0.17243325682448868,0.8993829965621142,-0.8298873117154478,-0.17511832747507577,1,0,0
Federal Republic of Germany,2012,wind offshore,0.09,DEU,-0.230267240991986,0.7452466880976248,-0.47460275829038984,-0.18217098484948804,0,0,1
Federal Republic of Germany,2008,wind onshore,0.062,DEU,-0.2949061830984156,0.6524660148193614,-0.09286844937895915,-0.177381144595423,0,1,0
Federal Republic of Germany,2009,wind onshore,0.058,DEU,-0.1551641557777633,0.547736027602826,-0.026386631534833616,-0.1779720703630785,0,1,0
Federal Republic of Germany,2011,wind onshore,0.047,DEU,-0.25698339450279634,0.7393556950363552,-0.3682675926526084,-0.18259995276321417,0,1,0
Federal Republic of Germany,2012,wind onshore,0.039,DEU,-0.230267240991986,0.7452466880976248,-0.47460275829038984,-0.18217098484948804,0,1,0
Federal Republic of Germany,2008,wind offshore,0.077,DEU,-0.2949061830984156,0.6524660148193614,-0.09286844937895915,-0.177381144595423,0,0,1
Republic of Uganda,2023,solar pv,0.25538,UGA,0.47933777002509254,-1.273132815595253,-0.9365799064814236,-0.27251821954878774,1,0,0
Hellenic Republic,2014,wind onshore,0.1275,GRC,-0.6781873319811409,-0.415238935564934,3.3384511812855857,-0.37991430109162433,0,1,0
Hellenic Republic,2015,wind onshore,0.1086666666666666,GRC,-0.4447570480308259,-0.41133085271543957,3.0298111290898744,-0.380117722431248,0,1,0
Hellenic Republic,2016,wind onshore,0.11,GRC,-0.48683286993103025,-0.40782800567954525,2.767636863559411,-0.380245445892805,0,1,0
Hellenic Republic,2014,solar pv,0.138,GRC,-0.6781873319811409,-0.415238935564934,3.3384511812855857,-0.37991430109162433,1,0,0
Hellenic Republic,2015,solar pv,0.161,GRC,-0.4447570480308259,-0.41133085271543957,3.0298111290898744,-0.380117722431248,1,0,0
Hellenic Republic,2016,solar pv,0.095,GRC,-0.48683286993103025,-0.40782800567954525,2.767636863559411,-0.380245445892805,1,0,0
Hellenic Republic,2018,wind onshore,0.062,GRC,-0.4527725307414394,-0.37142676805180674,1.9929092281984315,-0.3803679849967201,0,1,0
Hellenic Republic,2019,wind onshore,0.062,GRC,-0.3887235741996481,-0.3487674551699047,1.6115323484151955,-0.3804001206200634,0,1,0
Hellenic Republic,2018,solar pv,0.06,GRC,-0.4527725307414394,-0.37142676805180674,1.9929092281984315,-0.3803679849967201,1,0,0
Hellenic Republic,2019,solar pv,0.06,GRC,-0.3887235741996481,-0.3487674551699047,1.6115323484151955,-0.3804001206200634,1,0,0
Hellenic Republic,2023,solar pv,0.146238,GRC,0.36274382515759807,-0.25145002000099326,0.5429979696785645,-0.3812987634663242,1,0,0
Hellenic Republic,2013,wind onshore,0.12,GRC,-0.6831059208768668,-0.4283316850653789,3.513234024972561,-0.3797072737369211,0,1,0
Hellenic Republic,2020,solar pv,0.04785,GRC,-0.47001346631595653,-0.43632583840278577,1.4067254579599051,-0.38046548106531114,1,0,0
Hellenic Republic,2020,wind onshore,0.0384,GRC,-0.47001346631595653,-0.43632583840278577,1.4067254579599051,-0.38046548106531114,0,1,0
Republic of Guatemala,2014,solar pv,0.085,GTM,-0.03961740540554142,-1.1286703752781817,-0.9490899259682213,-0.3662941660026325,1,0,0
Republic of Hungary,2014,wind onshore,0.113,HUN,0.07149852719327919,-0.7022648613070579,-0.05408738896988598,-0.3828319455244522,0,1,0
Republic of Hungary,2018,solar pv,0.0565645833333333,HUN,0.22563506747742207,-0.5937296079117306,-0.7719837929479837,-0.38309046381687706,1,0,0
Republic of Hungary,2019,solar pv,0.0549300595238095,HUN,0.2173054939831633,-0.5579831420021045,-0.8236323019720488,-0.3831030422117485,1,0,0
Republic of Hungary,2019,wind onshore,0.0463175,HUN,0.2173054939831633,-0.5579831420021045,-0.8236323019720488,-0.3831030422117485,0,1,0
Republic of Hungary,2023,solar pv,0.139358,HUN,1.5473603414397206,-0.4972782520090089,-0.7006766818732361,-0.38361196526266905,1,0,0
Republic of Hungary,2013,wind onshore,0.113,HUN,-0.04492745267428409,-0.7290068222515382,0.38412072219623195,-0.3827562590218275,0,1,0
Republic of Hungary,2015,wind onshore,0.0835,HUN,-0.05090630181688794,-0.6777780590205109,-0.21707507142645185,-0.382898605613936,0,1,0
Republic of Hungary,2015,solar pv,0.074,HUN,-0.05090630181688794,-0.6777780590205109,-0.21707507142645185,-0.382898605613936,1,0,0
Republic of Hungary,2020,solar pv,0.1843,HUN,0.4314777830633425,-0.5906729446934093,-0.6751204992073492,-0.38316274053079474,1,0,0
Republic of India,2016,solar pv,0.1053666666666667,IND,0.01079547819863563,-1.2357389502419722,-0.07624799491792777,3.4110992572430563,1,0,0
Republic of India,2017,solar pv,0.0831,IND,0.10841174002157783,-1.2309689236128643,-0.0732098473282768,3.4557851326145874,1,0,0
Republic of India,2017,wind onshore,0.1014,IND,0.10841174002157783,-1.2309689236128643,-0.0732098473282768,3.4557851326145874,0,1,0
