Scenario,ISO,Year,Technology,wacc_projection
Below2,EST,2050,Wind_Onshore,0.028065301594810445
Below2,FIN,2025,Wind_Onshore,0.03554437861953525
Below2,FIN,2030,Wind_Onshore,0.033682733363094526
Below2,FIN,2035,Wind_Onshore,0.03283495976200047
Below2,FIN,2040,Wind_Onshore,0.03264745512821788
Below2,FIN,2045,Wind_Onshore,0.033099104011988824
Below2,FIN,2050,Wind_Onshore,0.03311489857341014
Below2,FRA,2025,Wind_Onshore,0.02619525164032547
Below2,FRA,2030,Wind_Onshore,0.025991960058897118
Below2,FRA,2035,Wind_Onshore,0.02616701076140212
Below2,FRA,2040,Wind_Onshore,0.026325756867672252
Below2,FRA,2045,Wind_Onshore,0.0261188089569289
Below2,FRA,2050,Wind_Onshore,0.025822461370476533
Below2,GBR,2025,Wind_Onshore,0.018091090496426196
Below2,GBR,2030,Wind_Onshore,0.013807162301032586
Below2,GBR,2035,Wind_Onshore,0.011965785546439088
Below2,GBR,2040,Wind_Onshore,0.010012085719908567
Below2,GBR,2045,Wind_Onshore,0.008647487593752213
Below2,GBR,2050,Wind_Onshore,0.006822175714448119
Below2,GRC,2025,Wind_Onshore,0.03980909594445241
Below2,GRC,2030,Wind_Onshore,0.04684668533825494
Below2,GRC,2035,Wind_Onshore,0.05022556820141232
Below2,GRC,2040,Wind_Onshore,0.05122231034375544
Below2,GRC,2045,Wind_Onshore,0.05197996160662924
Below2,GRC,2050,Wind_Onshore,0.05187983065484076
Below2,HKG,2025,Wind_Onshore,0.020298406213921052
Below2,HKG,2030,Wind_Onshore,0.01819456814612803
Below2,HKG,2035,Wind_Onshore,0.019139030558979066
Below2,HKG,2040,Wind_Onshore,0.01855376294686448
Below2,HKG,2045,Wind_Onshore,0.01803583553688791
Below2,HKG,2050,Wind_Onshore,0.017573335634896468
Below2,HRV,2025,Wind_Onshore,0.027937314205983242
Below2,HRV,2030,Wind_Onshore,0.026485311814386577
Below2,HRV,2035,Wind_Onshore,0.028782570520441298
Below2,HRV,2040,Wind_Onshore,0.028758195755441435
Below2,HRV,2045,Wind_Onshore,0.029258842386584896
Below2,HRV,2050,Wind_Onshore,0.029676368451778054
Below2,HUN,2025,Wind_Onshore,0.029675395666076777
Below2,HUN,2030,Wind_Onshore,0.0261623213667306
Below2,HUN,2035,Wind_Onshore,0.02197831810488066
Below2,HUN,2040,Wind_Onshore,0.020839896386214654
Below2,HUN,2045,Wind_Onshore,0.02109233559311046
Below2,HUN,2050,Wind_Onshore,0.020369624076873278
Below2,IDN,2025,Wind_Onshore,0.01913374143934048
Below2,IDN,2030,Wind_Onshore,0.0178995782653054
Below2,IDN,2035,Wind_Onshore,0.014652374223459665
Below2,IDN,2040,Wind_Onshore,0.012370881233681194
Below2,IDN,2045,Wind_Onshore,0.011078062723320677
Below2,IDN,2050,Wind_Onshore,0.00889855610915466
Below2,IND,2025,Wind_Onshore,0.009790344300929912
Below2,IND,2030,Wind_Onshore,-0.0058584369605085215
Below2,IND,2035,Wind_Onshore,-0.014394476909853345
Below2,IND,2040,Wind_Onshore,-0.023535963061573822
Below2,IND,2045,Wind_Onshore,-0.03412777521247941
Below2,IND,2050,Wind_Onshore,-0.04655323217450315
Below2,IRL,2025,Wind_Onshore,0.027213251288069857
Below2,IRL,2030,Wind_Onshore,0.0238364175309514
Below2,IRL,2035,Wind_Onshore,0.020234745476332545
Below2,IRL,2040,Wind_Onshore,0.01888658150918442
Below2,IRL,2045,Wind_Onshore,0.01857007327857053
Below2,IRL,2050,Wind_Onshore,0.017676347185313954
Below2,ITA,2025,Wind_Onshore,0.029164006198146724
Below2,ITA,2030,Wind_Onshore,0.033306539548807815
Below2,ITA,2035,Wind_Onshore,0.03607768197230518
Below2,ITA,2040,Wind_Onshore,0.0385021447985951
Below2,ITA,2045,Wind_Onshore,0.0408844054416408
Below2,ITA,2050,Wind_Onshore,0.042960478944962466
Below2,JPN,2025,Wind_Onshore,-0.002510362957725237
Below2,JPN,2030,Wind_Onshore,0.0006100960884113833
Below2,JPN,2035,Wind_Onshore,0.00271766482797256
Below2,JPN,2040,Wind_Onshore,0.004272639293005439
Below2,JPN,2045,Wind_Onshore,0.005092595954388154
Below2,JPN,2050,Wind_Onshore,0.004429366718587818
Below2,KOR,2025,Wind_Onshore,0.01161733464293489
