ISO,Country,Variable,Year,wacc,is_solar,is_wind_onshore,is_wind_offshore,Urban_Share,Rule_of_Law,Governance_Index
DEU,Germany,wacc,2015,0.035625,1,0,0,77.64905521,0.991999983787536,0.867623374
DEU,Germany,wacc,2010,0.04881,0,1,0,76.93877546499999,0.993000030517578,0.846768388
DEU,Germany,wacc,2010,0.046,1,0,0,76.93877546499999,0.993000030517578,0.846768388
DEU,Germany,wacc,2012,0.037,1,0,0,77.19370642,0.993000030517578,0.852725421
DEU,Germany,wacc,2012,0.09,0,0,1,77.19370642,0.993000030517578,0.852725421
DEU,Germany,wacc,2012,0.039,0,1,0,77.19370642,0.993000030517578,0.852725421
DEU,Germany,wacc,2008,0.062,0,1,0,76.575,0.993000030517578,0.851969971
DEU,Germany,wacc,2008,0.077,0,0,1,76.575,0.993000030517578,0.851969971
DEU,Germany,wacc,2009,0.058,0,1,0,76.771,0.993000030517578,0.848785251
DEU,Germany,wacc,2011,0.047,0,1,0,77.05027078,0.993000030517578,0.84731414
GRC,Greece,wacc,2014,0.1275,0,1,0,76.70884758,0.955999970436096,0.589804269
GRC,Greece,wacc,2014,0.138,1,0,0,76.70884758,0.955999970436096,0.589804269
GRC,Greece,wacc,2015,0.1086666666666666,0,1,0,76.971405805,0.955999970436096,0.584574088
GRC,Greece,wacc,2015,0.161,1,0,0,76.971405805,0.955999970436096,0.584574088
GRC,Greece,wacc,2013,0.12,0,1,0,76.55908317,0.952000021934509,0.610577035
GTM,Guatemala,wacc,2014,0.085,1,0,0,49.63308874,0.592000007629394,0.408378326
HUN,Hungary,wacc,2014,0.113,0,1,0,69.54212647,0.905000030994415,0.647619402
HUN,Hungary,wacc,2013,0.113,0,1,0,69.32285289,0.905000030994415,0.67732234
HUN,Hungary,wacc,2015,0.0835,0,1,0,69.981949865,0.905000030994415,0.645339949
HUN,Hungary,wacc,2015,0.074,1,0,0,69.981949865,0.905000030994415,0.645339949
IND,India,wacc,2013,0.0875,1,0,0,31.88546363,0.766000032424926,0.471348928
IND,India,wacc,2014,0.108,1,0,0,32.22245386,0.756999969482421,0.480705152
IND,India,wacc,2015,0.1055,1,0,0,32.60183729,0.727999985218048,0.498291049
IND,India,wacc,2015,0.108,0,1,0,32.60183729,0.727999985218048,0.498291049
IND,India,wacc,2011,0.097,1,0,0,31.23552249,0.722999989986419,0.476787592
IND,India,wacc,2012,0.115,1,0,0,31.55882223,0.722999989986419,0.467690628
IND,India,wacc,2010,0.107,0,1,0,30.92223542,0.722999989986419,0.482656956
IRL,Ireland,wacc,2014,0.09,0,1,0,62.79700646,0.968999981880188,0.86170288
IRL,Ireland,wacc,2013,0.09,0,1,0,62.50425489,0.970000028610229,0.842475406
IRL,Ireland,wacc,2015,0.0858333333333333,0,1,0,63.146581405,0.971000015735626,0.857757952
IRL,Ireland,wacc,2015,0.0775,1,0,0,63.146581405,0.971000015735626,0.857757952
IRL,Ireland,wacc,2010,0.07304,0,1,0,61.588850625,0.966000020503997,0.850471907
ITA,Italy,wacc,2014,0.08,0,1,0,69.28903068,0.953000009059906,0.637989888
ITA,Italy,wacc,2013,0.08,0,1,0,69.06963497,0.953000009059906,0.649081529
ITA,Italy,wacc,2015,0.0708333333333333,0,1,0,69.587382505,0.953000009059906,0.640430532
ITA,Italy,wacc,2015,0.085,1,0,0,69.587382505,0.953000009059906,0.640430532
JOR,Jordan,wacc,2013,0.162,1,0,0,85.72193902,0.726999998092651,0.503993835
MLT,Malta,wacc,2015,0.091,1,0,0,94.69746327,0.921000003814697,0.761987139
LVA,Latvia,wacc,2014,0.093,0,1,0,68.91874907,0.961000025272369,0.70527611
LVA,Latvia,wacc,2013,0.093,0,1,0,68.69491665,0.958999991416931,0.691692454
LVA,Latvia,wacc,2015,0.121,0,1,0,69.146522605,0.962000012397766,0.704687469
LVA,Latvia,wacc,2015,0.121,1,0,0,69.146522605,0.962000012397766,0.704687469
LTU,Lithuania,wacc,2014,0.085,0,1,0,67.96453312,0.962000012397766,0.727308814
LTU,Lithuania,wacc,2013,0.085,0,1,0,67.74326902,0.962000012397766,0.718239142
LTU,Lithuania,wacc,2015,0.065225,0,1,0,68.20040649,0.962000012397766,0.742757183
LTU,Lithuania,wacc,2015,0.0891333333333333,1,0,0,68.20040649,0.962000012397766,0.742757183
MLT,Malta,wacc,2013,0.071,0,1,0,94.45879719,0.932999968528747,0.787847113
NLD,Netherlands,wacc,2014,0.064,0,1,0,87.45195476,0.972000002861023,0.900310772
NLD,Netherlands,wacc,2012,0.11,0,0,1,87.05007428,0.977999985218048,0.90715061
NLD,Netherlands,wacc,2008,0.06,0,1,0,85.402,0.978999972343444,0.885272646
NOR,Norway,wacc,2010,0.0761,0,1,0,79.03560144,0.989000022411346,0.905441982
PER,Peru,wacc,2015,0.043,1,0,0,77.41653397,0.827000021934509,0.502597674
POL,Poland,wacc,2014,0.094,0,1,0,62.4863505,0.957000017166137,0.725763399
POL,Poland,wacc,2013,0.0935,0,1,0,62.18822813,0.954999983310699,0.719452986
POL,Poland,wacc,2015,0.08,0,1,0,62.65545255,0.954999983310699,0.721251393
POL,Poland,wacc,2015,0.08,1,0,0,62.65545255,0.954999983310699,0.721251393
PRT,Portugal,wacc,2014,0.08,0,1,0,61.48915479,0.963999986648559,0.742324546
PRT,Portugal,wacc,2013,0.08,0,1,0,61.18822302,0.963999986648559,0.746240912
PRT,Portugal,wacc,2015,0.0725,0,1,0,62.01906789,0.973999977111816,0.762575663
PRT,Portugal,wacc,2015,0.065,1,0,0,62.01906789,0.973999977111816,0.762575663
SVK,Slovakia,wacc,2014,0.081,0,1,0,56.38377683,0.93800002336502,0.691758662
SVK,Slovakia,wacc,2013,0.081,0,1,0,56.09166734,0.93800002336502,0.68917188
SVK,Slovakia,wacc,2015,0.0516666666666666,1,0,0,56.52714603,0.93800002336502,0.682920078
SVK,Slovakia,wacc,2015,0.0475,0,1,0,56.52714603,0.93800002336502,0.682920078
SVN,Slovenia,wacc,2014,0.11,0,1,0,53.81537453,0.967999994754791,0.725488966
SVN,Slovenia,wacc,2013,0.11,0,1,0,53.54637464,0.967000007629394,0.723981398
SVN,Slovenia,wacc,2015,0.0851,1,0,0,54.237888045000005,0.966000020503997,0.724859723
SVN,Slovenia,wacc,2015,0.0889666666666666,0,1,0,54.237888045000005,0.966000020503997,0.724859723
ZAF,South Africa,wacc,2012,0.078,1,0,0,62.5869165,0.898000001907348,0.583270876
ZAF,South Africa,wacc,2013,0.072,1,0,0,62.88084484,0.888000011444091,0.591241474
ESP,Spain,wacc,2014,0.1,0,1,0,78.79806884,0.973999977111816,0.70700716
ESP,Spain,wacc,2013,0.1,0,1,0,78.68738909,0.973999977111816,0.718645736
ESP,Spain,wacc,2015,0.07625,0,1,0,79.02935199,0.973999977111816,0.708201354
ESP,Spain,wacc,2008,0.059,0,1,0,77.976,0.984000027179718,0.734144517
SWE,Sweden,wacc,2014,0.082,0,1,0,85.50916964,0.990999996662139,0.911187101
SWE,Sweden,wacc,2013,0.082,0,1,0,85.34990439,0.990999996662139,0.926456318
SWE,Sweden,wacc,2015,0.018,1,0,0,85.79758749999999,0.989000022411346,0.911128012
