Scenario,ISO,Country,Year,inflation,unemployment,gdp_ppp,population
Below2,ARG,Argentina,2025,100.5882263183594,11.196972846984869,815.27262798096,46.4636
Below2,ARG,Argentina,2030,-1.2881140783429144,10.036413192749023,884.545763140597,47.6556
Below2,ARG,Argentina,2035,-2.3639436364173894,8.837172508239746,948.915171543012,48.7485
Below2,ARG,Argentina,2040,-0.0016867201775312,8.09195065498352,1024.72482120264,49.7239
Below2,ARG,Argentina,2045,0.9964073002338408,7.785560131072998,1118.06218460994,50.5382
Below2,ARG,Argentina,2050,1.4159944057464595,7.651007533073425,1240.49561872103,51.1738
Below2,AUS,Australia,2025,2.735258460044861,4.709480166435242,1257.03032474621,27.1235
Below2,AUS,Australia,2030,2.49742877483368,4.998226284980774,1350.51108803658,28.403
Below2,AUS,Australia,2035,2.435687541961669,4.9245970249176025,1505.64102863589,29.3463
Below2,AUS,Australia,2040,2.3309654593467712,4.921266317367554,1694.00809061665,30.2387
Below2,AUS,Australia,2045,2.374970495700836,4.909409880638122,1914.98672122788,31.1197
Below2,AUS,Australia,2050,2.4222340583801265,4.908371090888977,2148.1444008624,32.0157
Below2,AUT,Austria,2025,2.6034822165966034,5.76091742515564,454.425406198935,8.9933
Below2,AUT,Austria,2030,2.1835739016532894,6.482765674591064,483.108406440176,9.0445
Below2,AUT,Austria,2035,2.3610720038414,6.75751268863678,503.304863649675,9.0936
Below2,AUT,Austria,2040,2.169932007789612,6.863696932792664,523.407030646704,9.1347
Below2,AUT,Austria,2045,2.278083562850952,6.8870614767074585,550.320713454554,9.1781
Below2,AUT,Austria,2050,2.286213397979736,6.883094787597656,581.682525062517,9.2167
Below2,BEL,Belgium,2025,1.9525648951530457,6.109281539916992,567.558857150411,11.6265
Below2,BEL,Belgium,2030,1.839685887098312,6.200244188308716,594.684563433878,11.733
Below2,BEL,Belgium,2035,1.998745620250702,6.220521926879883,619.302530767768,11.8629
Below2,BEL,Belgium,2040,2.063141584396362,6.3707276582717896,640.847648907569,12.0012
Below2,BEL,Belgium,2045,2.136240363121033,6.472350120544434,668.643764470153,12.1406
Below2,BEL,Belgium,2050,2.051477670669556,6.617357730865479,702.961662678287,12.2771
Below2,BGR,Bulgaria,2025,2.4446897506713863,4.470212697982788,175.221441770441,6.64
Below2,BGR,Bulgaria,2030,1.11164054274559,4.662935972213745,193.480687631345,6.3807
Below2,BGR,Bulgaria,2035,1.4099001288414,4.510061383247376,209.314765564546,6.1436
Below2,BGR,Bulgaria,2040,1.669270366430283,4.34782338142395,221.77962862082,5.9214
Below2,BGR,Bulgaria,2045,2.012185633182526,4.467008113861085,234.83194606835,5.7156
Below2,BGR,Bulgaria,2050,2.006510615348816,4.505371451377869,249.179128459014,5.5286
Below2,BRA,Brazil,2025,2.988877654075622,7.267361879348755,3174.19399494992,219.5342
Below2,BRA,Brazil,2030,3.1813748478889465,7.096839427947998,3265.43692561081,224.2439
Below2,BRA,Brazil,2035,3.5407428741455083,6.796927332878113,3549.44982436177,227.6042
Below2,BRA,Brazil,2040,4.004792213439941,6.428475975990295,3981.62215489419,229.6076
Below2,BRA,Brazil,2045,4.692026853561401,6.169876933097839,4538.1295043096,230.2868
Below2,BRA,Brazil,2050,4.948008060455322,5.9736926555633545,5223.45855454599,229.6508
Below2,CAN,Canada,2025,2.386780977249146,6.983260631561279,1764.78008408576,39.4538
Below2,CAN,Canada,2030,1.883330434560776,6.903066992759705,1912.22284942098,40.6606
Below2,CAN,Canada,2035,1.4385816752910618,6.87654185295105,2138.0294588308,41.4221
Below2,CAN,Canada,2040,1.4900001883506775,6.761604070663452,2375.18962142022,42.1159
Below2,CAN,Canada,2045,1.7713550627231596,6.70590102672577,2633.11605306352,42.7737
Below2,CAN,Canada,2050,1.863711029291153,6.597695589065552,2904.85813161404,43.4562
Below2,CHE,Switzerland,2025,1.392808347940445,2.639526784420014,571.772410206381,8.8939
Below2,CHE,Switzerland,2030,1.2311459481716154,2.4592967033386235,575.677767164376,9.0241
Below2,CHE,Switzerland,2035,1.208492159843445,2.545203804969788,596.805496679903,9.1757
Below2,CHE,Switzerland,2040,1.366804599761963,2.737408816814423,619.701608699021,9.3254
Below2,CHE,Switzerland,2045,1.7461139559745786,2.67196124792099,644.477926180653,9.4874
Below2,CHE,Switzerland,2050,1.902901440858841,2.555853366851807,673.980622751911,9.6685
Below2,CHL,Chile,2025,3.383286476135254,6.668445825576782,466.447965985021,19.7585
Below2,CHL,Chile,2030,1.1441830545663836,7.075232148170471,483.884134320364,20.1315
Below2,CHL,Chile,2035,0.682215005159378,6.991666316986084,517.351348643682,20.4065
Below2,CHL,Chile,2040,1.2594714462757115,6.77476167678833,555.74005817392,20.5708
Below2,CHL,Chile,2045,2.0206502377986912,6.566595077514648,600.292711107429,20.6284
Below2,CHL,Chile,2050,2.087657928466797,6.373380899429321,654.965581000941,20.6037
Below2,CHN,China,2025,2.620132744312287,5.599464178085327,25212.5251743484,1411.3712
Below2,CHN,China,2030,2.5933094024658203,4.927361369132996,28273.3254062534,1402.9482
Below2,CHN,China,2035,2.683463513851166,4.421570420265198,31915.9502955899,1385.6862
Below2,CHN,China,2040,2.766633868217468,4.293791174888611,35421.5195507169,1362.7381
Below2,CHN,China,2045,2.7887920141220097,4.224301815032959,39136.1601380539,1332.6328
Below2,CHN,China,2050,2.886933267116546,4.269248127937316,42715.1432380307,1293.6929
Below2,CZE,Czech Republic,2025,2.167889177799225,4.338099956512451,397.464416469597,10.789
Below2,CZE,Czech Republic,2030,2.151183247566223,5.228363394737243,416.38559841528,10.6405
Below2,CZE,Czech Republic,2035,1.6803075671195986,5.260770916938782,435.577563237308,10.4894
Below2,CZE,Czech Republic,2040,1.8760704100131995,5.104617238044739,454.042028180787,10.3569
Below2,CZE,Czech Republic,2045,2.273205399513245,4.9557331800460815,476.990158168052,10.2605
Below2,CZE,Czech Republic,2050,2.138997972011566,4.924472212791443,503.676387588922,10.1916
Below2,DEU,Germany,2025,2.2505644857883453,3.9360072612762447,4006.34817557192,83.1263
Below2,DEU,Germany,2030,2.037322044372559,3.945317506790161,4076.74103962569,82.4598
Below2,DEU,Germany,2035,1.98543393611908,3.932385385036469,4187.031371486,81.9027
Below2,DEU,Germany,2040,1.879516988992691,3.950269460678101,4336.25517005692,81.4023
Below2,DEU,Germany,2045,1.929955005645752,3.95287549495697,4556.23562290305,80.9679
Below2,DEU,Germany,2050,2.0284060239791866,3.975108981132507,4814.3591761835,80.5313
Below2,DNK,Denmark,2025,2.0606489777565,6.092839121818543,321.076153394981,5.8698
Below2,DNK,Denmark,2030,2.1057447791099544,6.662466645240784,332.94245873103,5.9254
Below2,DNK,Denmark,2035,2.067812979221344,6.895688295364381,346.304525628984,5.9817
Below2,DNK,Denmark,2040,2.02949982881546,7.002884387969971,359.562990353265,6.0301
Below2,DNK,Denmark,2045,2.0776802301406865,7.049094915390015,379.049825529341,6.0781
Below2,DNK,Denmark,2050,2.0208733081817623,7.078888773918152,403.870678739548,6.1375
Below2,EGY,Egypt,2025,21.18420648574829,8.185070037841797,1372.98795578479,117.1798
Below2,EGY,Egypt,2030,-0.1727823726832867,8.274412870407104,1612.65741049777,126.7888
Below2,EGY,Egypt,2035,-0.5667488723993301,7.622893929481506,1963.06361499977,136.832
Below2,EGY,Egypt,2040,0.4302659854292869,7.2932209968566895,2451.60965593382,147.0119
Below2,EGY,Egypt,2045,1.169367492198944,7.175080418586731,3098.01412100154,156.833
Below2,EGY,Egypt,2050,1.5736338198184965,7.114443182945252,3869.57217776799,165.8638
Below2,ESP,Spain,2025,2.367573708295822,12.423675775527956,1762.43847419079,47.3281
Below2,ESP,Spain,2030,2.1436012983322144,12.06538724899292,1809.78685335647,47.4949
Below2,ESP,Spain,2035,2.464660048484802,11.933063507080076,1913.66558626866,47.7876
Below2,ESP,Spain,2040,2.65427029132843,11.849399566650392,2049.14482478407,48.1725
Below2,ESP,Spain,2045,2.820038139820099,11.780297279357908,2222.29913917504,48.6288
Below2,ESP,Spain,2050,2.7394100427627563,11.780887365341188,2421.96988982865,49.1419
Below2,EST,Estonia,2025,2.0576409846544266,6.957092523574829,45.7088392595001,1.34
Below2,EST,Estonia,2030,0.9397857934236526,6.116236090660095,52.9575223050297,1.3032
Below2,EST,Estonia,2035,1.105207800865173,6.300757527351379,57.2806350211603,1.2717
Below2,EST,Estonia,2040,1.6052976250648503,6.332027792930603,59.7136585422604,1.2457
Below2,EST,Estonia,2045,1.8290695846080776,6.309325456619263,61.5738760485755,1.225
Below2,EST,Estonia,2050,1.9581605195999143,6.198105454444885,63.5692759496815,1.2076
Below2,FIN,Finland,2025,2.068392425775528,8.244856834411621,254.916470638862,5.5051
Below2,FIN,Finland,2030,1.9871623814105988,7.817749738693237,269.76057061679,5.477
Below2,FIN,Finland,2035,1.9504896998405457,7.627225637435913,281.914012868949,5.4587
Below2,FIN,Finland,2040,2.031918466091156,7.533886909484863,291.511874428602,5.4441
Below2,FIN,Finland,2045,2.298532783985138,7.49427342414856,304.319973272183,5.4353
Below2,FIN,Finland,2050,2.390640377998352,7.453527092933655,321.454735621403,5.4431
Below2,FRA,France,2025,2.314735770225525,7.61389946937561,2817.84987830211,64.7393
Below2,FRA,France,2030,1.9808528423309324,7.859263181686401,2931.46002484045,65.3338
Below2,FRA,France,2035,2.10641610622406,7.913756608963013,3044.73768521749,66.1037
Below2,FRA,France,2040,2.204943001270294,7.9891650676727295,3168.51294343623,66.9077
Below2,FRA,France,2045,2.25948303937912,8.032041788101196,3338.67112890436,67.6279
Below2,FRA,France,2050,2.265848934650421,8.113693475723267,3549.98684350421,68.2413
Below2,GBR,United Kingdom,2025,2.654446244239808,5.346657752990723,2921.12808396673,67.4562
Below2,GBR,United Kingdom,2030,2.186892330646516,4.641980051994324,3085.59411827981,68.2525
Below2,GBR,United Kingdom,2035,2.1888705492019658,4.320306777954102,3297.54316271533,69.1563
Below2,GBR,United Kingdom,2040,2.058163106441498,4.084241151809692,3549.99052410053,70.1362
Below2,GBR,United Kingdom,2045,2.110832810401917,3.951577961444855,3885.32361695645,71.2303
Below2,GBR,United Kingdom,2050,2.09968376159668,3.788707196712493,4286.15448891994,72.4188
Below2,GRC,Greece,2025,2.4586521685123444,9.165471076965332,312.762267225783,10.3055
Below2,GRC,Greece,2030,2.1963241696357727,11.198250532150269,332.261193014589,10.1387
Below2,GRC,Greece,2035,2.176134526729584,12.112554788589474,348.237464960476,10.0089
Below2,GRC,Greece,2040,2.1108813285827632,12.431713104248042,368.438546036611,9.9031
Below2,GRC,Greece,2045,2.2467956542968746,12.56454753875732,393.349850819257,9.8109
Below2,GRC,Greece,2050,2.1642742156982417,12.611835479736325,421.135673065937,9.7252
Below2,HKG,Hong Kong,2025,2.5311236977577214,4.048682749271392,394.592289476306,7.4569
Below2,HKG,Hong Kong,2030,2.108112394809723,3.776597142219544,413.173884420513,7.4774
Below2,HKG,Hong Kong,2035,1.9550732672214504,4.137176036834717,433.032355529846,7.4606
Below2,HKG,Hong Kong,2040,1.8819093704223628,4.039605617523193,446.252425666777,7.427
Below2,HKG,Hong Kong,2045,1.6870387494564056,4.031932830810547,453.415636726993,7.3874
Below2,HKG,Hong Kong,2050,1.6269443035125732,3.949000179767608,454.478891148698,7.3607
Below2,HRV,Croatia,2025,2.012949079275131,6.182704448699951,131.852018123305,3.9577
Below2,HRV,Croatia,2030,1.3023027479648588,6.258814811706543,143.972499223224,3.8221
Below2,HRV,Croatia,2035,1.6853401064872742,6.627299427986145,151.540455819065,3.6988
Below2,HRV,Croatia,2040,1.6561442315578463,6.642395496368408,155.505703872697,3.5814
Below2,HRV,Croatia,2045,1.9768965542316432,6.574394226074219,159.159837802609,3.4717
Below2,HRV,Croatia,2050,2.206031918525696,6.542417526245117,162.859243090404,3.3712
Below2,HUN,Hungary,2025,3.1077081263065343,6.097020030021668,323.404672491077,9.5376
Below2,HUN,Hungary,2030,2.674545764923096,5.469841361045837,354.055603485903,9.3513
Below2,HUN,Hungary,2035,1.816026508808136,4.929966926574707,378.532054788567,9.1593
Below2,HUN,Hungary,2040,1.9530514180660248,4.557935357093811,396.731693544101,8.9618
Below2,HUN,Hungary,2045,2.430745363235474,4.336839318275452,415.033193374582,8.771
Below2,HUN,Hungary,2050,2.1991137266159058,4.308070063591003,434.561708681858,8.5963
Below2,IDN,Indonesia,2025,2.011885553598404,6.466688275337219,3489.02457885733,291.944
Below2,IDN,Indonesia,2030,1.6822814345359802,6.761004090309143,4019.61016675355,303.0448
Below2,IDN,Indonesia,2035,1.0666722655296328,6.766161799430847,4627.60925981946,312.3816
Below2,IDN,Indonesia,2040,1.2470541894435885,6.705446720123291,5471.54140586202,319.608
