country,technology,year,wacc,ISO,inflation,gdp,interest_rate,unemployment,population
People's Republic of China,wind onshore,2014,0.0618,CHN,1.03106368780396,7532.78530130172,4.52230843210213,4.63,1371860000.0
People's Republic of China,wind onshore,2015,0.058,CHN,-0.0029440936495177,8016.44559489998,4.35307225217325,4.65,1379860000.0
People's Republic of China,wind onshore,2016,0.053,CHN,1.40734602732051,8516.52874235572,2.90181538908108,4.56,1387790000.0
People's Republic of China,wind onshore,2017,0.0512,CHN,4.2326819752236,9053.22872461936,0.112553973046852,4.47,1396215000.0
People's Republic of China,wind onshore,2018,0.0548,CHN,3.49974763567195,9619.20947510677,0.821501871986205,4.31,1402760000.0
People's Republic of China,wind onshore,2019,0.0572,CHN,1.28670040766232,10155.5108830542,3.02438482052273,4.56,1407745000.0
People's Republic of China,solar pv,2014,0.0834,CHN,1.03106368780396,7532.78530130172,4.52230843210213,4.63,1371860000.0
People's Republic of China,solar pv,2015,0.0932,CHN,-0.0029440936495177,8016.44559489998,4.35307225217325,4.65,1379860000.0
People's Republic of China,solar pv,2017,0.0843,CHN,4.2326819752236,9053.22872461936,0.112553973046852,4.47,1396215000.0
People's Republic of China,solar pv,2018,0.0848,CHN,3.49974763567195,9619.20947510677,0.821501871986205,4.31,1402760000.0
People's Republic of China,solar pv,2019,0.0866,CHN,1.28670040766232,10155.5108830542,3.02438482052273,4.56,1407745000.0
Republic of Colombia,wind onshore,2020,0.0596,COL,1.48172462037553,5891.95523215403,8.24660761552955,15.983,50629997.0
Republic of Costa Rica,solar pv,2023,0.18033,CRI,-0.087922596921004,14318.8389652137,9.19254167495134,8.325,5105525.0
Republic of Costa Rica,solar pv,2020,0.0679,CRI,0.772593247062218,12242.2098908533,5.82052018289417,16.432,5034320.0
Republic of Croatia,wind onshore,2014,0.12,HRV,0.126544520072585,11863.8584044911,8.44277161510625,17.29,4201598.0
Republic of Croatia,wind onshore,2019,0.07833333333333334,HRV,1.98838183285723,14641.2298817935,,6.617,3949390.0
Republic of Croatia,wind onshore,2013,0.12,HRV,0.73288886582057,11839.2458156921,8.45183524140435,17.251,4233922.0
Republic of Croatia,solar pv,2015,0.07833333333333332,HRV,0.12437215819854,12285.3032582105,,16.175,4151725.0
Republic of Croatia,wind onshore,2015,0.08180000000000001,HRV,0.12437215819854,12285.3032582105,,16.175,4151725.0
Republic of Croatia,solar pv,2020,0.0577,HRV,0.803359807884533,13544.9715102628,,7.507,3914206.0
Republic of Croatia,wind onshore,2020,0.0597,HRV,0.803359807884533,13544.9715102628,,7.507,3914206.0
Republic of Cyprus,wind onshore,2014,0.1,CYP,-1.33826258326664,22581.828125,,16.277,1201801.0
Republic of Cyprus,wind onshore,2019,0.052,CYP,1.35009084401798,28625.779296875,,7.155,1286671.0
Republic of Cyprus,solar pv,2019,0.05,CYP,1.35009084401798,28625.779296875,,7.155,1286671.0
Republic of Cyprus,wind onshore,2013,0.1,CYP,-0.937739537664939,22738.490234375,,16.131,1183895.0
Republic of Cyprus,wind onshore,2015,0.1,CYP,-0.754233926922836,23487.228515625,,15.026,1219502.0
Republic of Cyprus,solar pv,2015,0.1,CYP,-0.754233926922836,23487.228515625,,15.026,1219502.0
Czech Republic,wind onshore,2014,0.08,CZE,2.70671595220047,17118.0425569684,1.8871107836235,6.108,10525347.0
Czech Republic,wind onshore,2019,0.06,CZE,3.84131790816744,20360.0599218778,-0.149541365420505,2.015,10671870.0
Czech Republic,wind onshore,2018,0.06,CZE,2.81335978857678,19736.629527594,0.708328266221049,2.246,10629928.0
Czech Republic,solar pv,2018,0.05499999999999999,CZE,2.81335978857678,19736.629527594,0.708328266221049,2.246,10629928.0
Czech Republic,solar pv,2019,0.05499999999999999,CZE,3.84131790816744,20360.0599218778,-0.149541365420505,2.015,10671870.0
Czech Republic,wind onshore,2013,0.08,CZE,1.27158777843077,16759.7808654377,3.65186852150433,6.953,10514272.0
Czech Republic,wind onshore,2015,0.08,CZE,1.23453645747557,17931.5987670768,3.01082711337759,5.048,10546059.0
Czech Republic,solar pv,2015,0.07300000000000001,CZE,1.23453645747557,17931.5987670768,3.01082711337759,5.048,10546059.0
Kingdom of Denmark,wind onshore,2014,0.058,DNK,1.01870652494551,52368.3625852985,,6.925,5643475.0
Kingdom of Denmark,wind onshore,2019,0.025,DNK,0.950878601964675,57114.6227285377,,5.018,5814422.0
Kingdom of Denmark,wind onshore,2013,0.0575,DNK,0.846911221576292,51970.3909405024,,7.384,5614932.0
Kingdom of Denmark,wind onshore,2015,0.049875,DNK,0.409102896444253,53094.0133607574,,6.278,5683483.0
Kingdom of Denmark,solar pv,2015,0.045,DNK,0.409102896444253,53094.0133607574,,6.278,5683483.0
Kingdom of Denmark,wind onshore,2010,0.05059999999999998,DNK,3.18685980343099,51209.4492636368,,7.746,5547683.0
Kingdom of Denmark,wind onshore,2016,0.03224000000000005,DNK,0.4265129525064,54300.2039530893,,5.989,5728010.0
Kingdom of Denmark,solar pv,2020,0.03285,DNK,2.82692165384543,55934.5556066994,,5.637,5831404.0
Kingdom of Denmark,wind offshore,2020,0.04769999999999999,DNK,2.82692165384543,55934.5556066994,,5.637,5831404.0
Kingdom of Denmark,wind onshore,2020,0.03192,DNK,2.82692165384543,55934.5556066994,,5.637,5831404.0
Kingdom of Denmark,wind onshore,2017,0.047,DNK,1.10061874339993,55601.0145649906,,5.833,5764980.0
Kingdom of Denmark,wind offshore,2012,0.09,DNK,2.4078426280274,51470.6898338005,,7.798,5591572.0
Kingdom of Denmark,wind onshore,2008,0.052,DNK,4.2542588202313,53572.5346597284,,3.683,5493621.0
Kingdom of Denmark,wind offshore,2008,0.092,DNK,4.2542588202313,53572.5346597284,,3.683,5493621.0
Arab Republic of Egypt,solar pv,2023,0.2653375,EGY,24.8250653743744,4111.24924442966,-5.66130850390234,7.334,114535772.0
Kingdom of Bahrain,solar pv,2023,0.2518,BHR,-4.14375165818939,25076.6545031009,,1.154,1577059.0
Republic of El Salvador,solar pv,2014,0.048,SLV,0.993230854860357,3713.94992016222,,4.154,6162955.0
Republic of Estonia,wind onshore,2014,0.097,EST,2.8565454191879,17413.6860003066,,7.352,1314545.0
Republic of Estonia,wind onshore,2019,0.08064166666666667,EST,3.82267611749334,20579.875480866,,4.514,1326898.0
Republic of Estonia,solar pv,2019,0.07209583333333333,EST,3.82267611749334,20579.875480866,,4.514,1326898.0
Republic of Estonia,wind onshore,2013,0.097,EST,4.12395305572544,16809.532320526,,8.631,1317997.0
Republic of Estonia,solar pv,2015,0.08449999999999999,EST,1.3064346804756,17722.1557669523,,6.412,1315407.0
Republic of Estonia,wind onshore,2015,0.08183333333333333,EST,1.3064346804756,17722.1557669523,,6.412,1315407.0
Republic of Finland,wind onshore,2014,0.065,FIN,1.64467040761917,42502.4881250833,,8.663,5461512.0
Republic of Finland,wind onshore,2019,0.0425,FIN,1.48185905545748,45898.5709888883,,6.695,5521606.0
Republic of Finland,wind onshore,2018,0.04,FIN,1.98705887836203,45337.2411058586,,7.361,5515525.0
Republic of Finland,wind onshore,2013,0.065,FIN,2.56139416275289,42883.6385589185,,8.193,5438972.0
Republic of Finland,wind onshore,2015,0.038,FIN,1.63270263049233,42560.3456767103,,9.376,5479531.0
Republic of Finland,solar pv,2015,0.06,FIN,1.63270263049233,42560.3456767103,,9.376,5479531.0
Republic of Finland,wind onshore,2020,0.03693333333333333,FIN,1.63841612956087,44690.9801797392,,7.759,5529543.0
French Republic,wind onshore,2014,0.057,FRA,0.570795063645548,36444.3949135827,,10.273,66312067.0
French Republic,solar pv,2019,0.0409125,FRA,1.21052307126166,38705.2072997191,,8.415,67382061.0
French Republic,solar pv,2018,0.0395375,FRA,1.11459330798793,38062.4435971517,,9.018,67158348.0
French Republic,wind onshore,2018,0.03133333333333333,FRA,1.11459330798793,38062.4435971517,,9.018,67158348.0
French Republic,wind onshore,2019,0.02993333333333334,FRA,1.21052307126166,38705.2072997191,,8.415,67382061.0
