"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",539.0806,567.558857150411,594.684563433878,619.302530767768,640.847648907569,668.643764470153,702.961662678287,738.639184133155,767.487001503638,802.732359125868,841.937583044811,885.451664974448,930.308462813454,967.871482391208,1005.66994250909,1038.52111571649,1068.12174390703
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEN","Population","million",12.645,14.495,16.4394,18.4294,20.4595,22.488,24.4897,26.4096,28.1936,29.8065,31.4036,32.6896,33.9305,34.7806,35.5941,36.0478,36.5378
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BEN","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",38.2478,47.5213299546944,59.1523126940284,77.5325134466308,103.27786191134,135.049854319919,171.340366447453,218.081721254252,275.195739305642,353.135923782487,433.810550132238,552.000066236893,671.209469834709,825.955991214247,982.798704720293,1177.10673522971,1376.29311187492
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BGD","Population","million",172.762,182.5643,191.2395,198.2698,203.7063,207.6669,210.3128,211.7766,211.9881,210.6321,209.1105,205.8992,202.7798,198.4142,194.1065,189.1103,184.3877
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BGD","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",938.4651,1197.27637170991,1559.24115052146,1998.10192235954,2533.07718775887,3079.17280185509,3667.13811505113,4348.04316963013,4980.05879284254,5718.26256893918,6471.07513280943,7296.68057850062,8072.81441307351,8755.55187683793,9381.27558879226,10074.3030470215,10756.1094447908
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BGR","Population","million",7.0594,6.64,6.3807,6.1436,5.9214,5.7156,5.5286,5.3537,5.1853,5.0204,4.8623,4.7125,4.5776,4.4584,4.3613,4.271,4.1869
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BGR","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",159.4959,175.221441770441,193.480687631345,209.314765564546,221.77962862082,234.83194606835,249.179128459014,263.910116486297,274.497446602996,286.013230330146,298.362054780449,312.187363708277,327.332519484153,341.376095821704,357.569034709124,374.172005990266,391.532635278678
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BHR","Population","million",1.5217,1.6406,1.7611,1.8778,1.989,2.0928,2.1853,2.2612,2.3187,2.3441,2.359,2.3417,2.3163,2.274,2.2343,2.1872,2.1418
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BHR","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",66.9288,70.7460716206967,71.2163003257523,74.750283427817,80.3504034497208,87.6483500296209,94.9406848061848,105.292391348021,113.992495783195,125.284365256857,135.444203357505,145.970994019486,154.698146879483,162.433236669227,169.321945512699,178.20422326004,186.677765705162
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BIH","Population","million",3.372,3.197,3.0648,2.9377,2.8061,2.6754,2.5498,2.432,2.322,2.2193,2.1308,2.0444,1.969,1.8974,1.835,1.7762,1.7222
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BIH","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",47.4507,52.9075803906215,58.4555980031124,64.1614494035854,68.0398009591035,70.5575487646345,72.4796087652829,74.4656061093872,75.3274492172435,76.1979022056675,77.5982576571816,78.4080692698739,79.5663434437015,80.5966194279519,81.9564797641132,83.1362994147062,84.6436254188239
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","BLR","Population","million",9.6155,9.4968,9.2983,9.1332,8.9856,8.8579,8.7367,8.6063,8.4695,8.3211,8.188,8.0476,7.9143,7.7763,7.6456,7.5039,7.3659
