Scenario,Country,partner,ISO,Year,inflation,unemployment,Model,GDP_damage,GDP_no_damage,Population
Delayed transition,India,India,IND,2023,0.0045962333679198,0.4639243682225545,,,,
Delayed transition,Indonesia,Indonesia,IDN,2023,0.0046669642130533,0.4695120255152384,,,,
Delayed transition,Ireland,Ireland,IRL,2023,0.039904514948527,-0.1352895100911458,,,,
Delayed transition,Italy,Italy,ITA,2023,0.0005726615587869,0.1328240633010864,,,,
Delayed transition,Japan,Japan,JPN,2023,0.0083490610122679,-0.0804048975308736,,,,
Delayed transition,Latvia,Latvia,LVA,2023,0.0096697807312011,0.0207394361495971,,,,
Delayed transition,Lithuania,Lithuania,LTU,2023,0.0100332299868265,0.0628290971120198,,,,
Delayed transition,Malaysia,Malaysia,MYS,2023,-0.0313292443752288,0.3314384222030639,,,,
Delayed transition,Mexico,Mexico,MEX,2023,0.0221672058105468,0.4389865199724833,,,,
Delayed transition,Netherlands,Netherlands,NLD,2023,0.0080900192260741,-0.0635750889778137,,,,
Delayed transition,New Zealand,New Zealand,NZL,2023,0.0051983992258707,0.215568999449412,,,,
Delayed transition,Norway,Norway,NOR,2023,0.0030269225438435,0.006361444791158,,,,
Delayed transition,Poland,Poland,POL,2023,0.0060287316640217,0.3215161561965942,,,,
Delayed transition,Portugal,Portugal,PRT,2023,0.001621643702189,0.1315648555755615,,,,
Delayed transition,Romania,Romania,ROU,2023,0.0030463536580403,0.0436004797617594,,,,
Delayed transition,Russia,Russia,RUS,2023,-0.0578967531522114,0.0027822256088256,,,,
Delayed transition,Singapore,Singapore,SGP,2023,0.0053808689117431,0.5100381871064504,,,,
Delayed transition,Slovakia,Slovakia,SVK,2023,0.0006013313929239,0.218780239423116,,,,
Delayed transition,Slovenia,Slovenia,SVN,2023,0.0119152069091796,0.266400694847107,,,,
Delayed transition,South Africa,South Africa,ZAF,2023,-0.0088787078857421,0.2300087610880533,,,,
Delayed transition,South Korea,South Korea,KOR,2023,0.0038192073504129,0.3183838129043579,,,,
Delayed transition,Spain,Spain,ESP,2023,0.0109070738156636,0.0271406173706054,,,,
Delayed transition,Sweden,Sweden,SWE,2023,0.0045370658238728,-0.0082832972208658,,,,
Delayed transition,Switzerland,Switzerland,CHE,2023,0.0075405836105346,0.238506406545639,,,,
Delayed transition,Taiwan,Taiwan,TWN,2023,0.0056505997975666,0.3876336614290873,,,,
Delayed transition,Turkey,Turkey,TUR,2023,0.0099210739135741,0.3386325041453044,,,,
Delayed transition,United Kingdom,United Kingdom,GBR,2023,0.1283417145411173,0.0870015422503153,,,,
Delayed transition,United States,United States,USA,2023,0.2317672967910766,-0.0330121119817097,,,,
Delayed transition,Viet Nam,Viet Nam,VNM,2023,0.0137063264846801,0.5193937420845032,,,,
Fragmented World,Argentina,Argentina,ARG,2023,0.0218989054361978,0.3038035233815511,,,,
Fragmented World,Australia,Australia,AUS,2023,0.0073159933090209,-0.0197288393974303,,,,
Fragmented World,Austria,Austria,AUT,2023,0.0081160863240559,0.0193817218144734,,,,
Fragmented World,Belgium,Belgium,BEL,2023,0.0102616548538207,-0.108336607615153,,,,
Fragmented World,Brazil,Brazil,BRA,2023,0.0160603523254394,0.520912249883016,,,,
Fragmented World,Bulgaria,Bulgaria,BGR,2023,0.0103621532519657,0.2865909735361735,,,,
Fragmented World,Canada,Canada,CAN,2023,-0.0490011175473531,0.3950982491175334,,,,
Fragmented World,Chile,Chile,CHL,2023,0.0067002375920613,0.2044458389282226,,,,
Fragmented World,China,China,CHN,2023,0.0252260835744284,-0.2580804427464803,,,,
Fragmented World,Croatia,Croatia,HRV,2023,0.0108650922775268,0.3132607936859131,,,,
Fragmented World,Czech Republic,Czech Republic,CZE,2023,0.0044455528259277,0.4369249939918518,,,,
Fragmented World,Denmark,Denmark,DNK,2023,0.0078893601894378,-0.0002436637878417,,,,
Fragmented World,Egypt,Egypt,EGY,2023,0.0048298835754394,0.5104473829269409,,,,
Fragmented World,Estonia,Estonia,EST,2023,-0.0165916283925374,0.0008731285730997,,,,
Fragmented World,Finland,Finland,FIN,2023,-0.0130273699760436,0.1130407253901163,,,,
Fragmented World,France,France,FRA,2023,0.0176372528076171,-0.088406483332316,,,,
Fragmented World,Germany,Germany,DEU,2023,0.0182168285051981,-0.0431708892186482,,,,
Fragmented World,Greece,Greece,GRC,2023,-0.0013992463548977,0.2945099671681722,,,,
Fragmented World,Hong Kong,Hong Kong,HKG,2023,0.0053958495457966,0.5064197381337484,,,,
Fragmented World,Hungary,Hungary,HUN,2023,0.0064837932586669,0.5375545223553976,,,,
Fragmented World,India,India,IND,2023,0.0046209891637166,0.4672180414199829,,,,
Fragmented World,Indonesia,Indonesia,IDN,2023,0.0046921571095784,0.4728320439656575,,,,
Fragmented World,Ireland,Ireland,IRL,2023,0.0401320060094197,-0.1362280845642089,,,,
Fragmented World,Italy,Italy,ITA,2023,0.000572383403778,0.1337627569834391,,,,
Fragmented World,Japan,Japan,JPN,2023,0.0083963672320047,-0.0809696912765502,,,,
Fragmented World,Latvia,Latvia,LVA,2023,0.0097153584162393,0.0208986997604369,,,,
Fragmented World,Lithuania,Lithuania,LTU,2023,0.0100863575935363,0.0632774432500203,,,,
Fragmented World,Malaysia,Malaysia,MYS,2023,-0.0315200885136921,0.333954652150472,,,,
Fragmented World,Mexico,Mexico,MEX,2023,0.0222887198130288,0.4421215057373047,,,,
Fragmented World,Netherlands,Netherlands,NLD,2023,0.0081353982289631,-0.0640144944190978,,,,
Fragmented World,New Zealand,New Zealand,NZL,2023,0.0052271286646524,0.2171110510826111,,,,
Fragmented World,Norway,Norway,NOR,2023,0.0030436118443806,0.0064188241958618,,,,
Fragmented World,Poland,Poland,POL,2023,0.0060611565907796,0.3238586187362671,,,,
Fragmented World,Portugal,Portugal,PRT,2023,0.0016264518102009,0.132530927658081,,,,
Fragmented World,Romania,Romania,ROU,2023,0.0030581951141357,0.0439057747522989,,,,
Fragmented World,Russia,Russia,RUS,2023,-0.0583660801251728,0.0028022726376851,,,,
Fragmented World,Singapore,Singapore,SGP,2023,0.0054109493891397,0.5136615335941315,,,,
Fragmented World,Slovakia,Slovakia,SVK,2023,0.0006045897801716,0.2203441063563029,,,,
Fragmented World,Slovenia,Slovenia,SVN,2023,0.0119804541269937,0.2683040897051493,,,,
Fragmented World,South Africa,South Africa,ZAF,2023,-0.0089322725931802,0.2316311200459798,,,,
Fragmented World,South Korea,South Korea,KOR,2023,0.0038390954335529,0.3206403851509093,,,,
Fragmented World,Spain,Spain,ESP,2023,0.0109603603680928,0.0274125734965006,,,,
Fragmented World,Sweden,Sweden,SWE,2023,0.0045621395111083,-0.0083379745483398,,,,
Fragmented World,Switzerland,Switzerland,CHE,2023,0.0075818399588266,0.240214854478836,,,,
Fragmented World,Taiwan,Taiwan,TWN,2023,0.0056813259919484,0.3903860449790954,,,,
Fragmented World,Turkey,Turkey,TUR,2023,0.0099722544352213,0.341034730275472,,,,
Fragmented World,United Kingdom,United Kingdom,GBR,2023,0.1291370391845702,0.08760666847229,,,,
Fragmented World,United States,United States,USA,2023,0.2332547108332316,-0.0332443714141845,,,,
Fragmented World,Viet Nam,Viet Nam,VNM,2023,0.0137709776560464,0.5231022834777832,,,,
Nationally Determined Contributions (NDCs),Argentina,Argentina,ARG,2023,0.6371701558430989,0.294795552889506,,,,
Nationally Determined Contributions (NDCs),Australia,Australia,AUS,2023,0.0591806570688883,-0.0268774032592773,,,,
Nationally Determined Contributions (NDCs),Austria,Austria,AUT,2023,0.450123389561971,0.0274329582850137,,,,
Nationally Determined Contributions (NDCs),Belgium,Belgium,BEL,2023,0.3192612926165263,-0.1200348536173502,,,,
Nationally Determined Contributions (NDCs),Brazil,Brazil,BRA,2023,0.4718479911486308,0.5285821755727133,,,,
Nationally Determined Contributions (NDCs),Bulgaria,Bulgaria,BGR,2023,1.039111708601316,0.291189153989156,,,,
Nationally Determined Contributions (NDCs),Canada,Canada,CAN,2023,0.0167287786801656,0.2720911900202433,,,,
Nationally Determined Contributions (NDCs),Chile,Chile,CHL,2023,0.3535470167795817,0.2063783009847005,,,,
Nationally Determined Contributions (NDCs),China,China,CHN,2023,0.1440030904486775,-0.2127978006998697,,,,
Nationally Determined Contributions (NDCs),Croatia,Croatia,HRV,2023,0.6403283675511678,0.3091843525568644,,,,
Nationally Determined Contributions (NDCs),Czech Republic,Czech Republic,CZE,2023,0.4219073057174682,0.5342122912406921,,,,
Nationally Determined Contributions (NDCs),Denmark,Denmark,DNK,2023,0.2659718741973241,0.0138776699701944,,,,
Nationally Determined Contributions (NDCs),Egypt,Egypt,EGY,2023,0.7770252227783203,0.4956028461456299,,,,
Nationally Determined Contributions (NDCs),Estonia,Estonia,EST,2023,0.8410376707712809,0.0356391668319701,,,,
Nationally Determined Contributions (NDCs),Finland,Finland,FIN,2023,0.2640731533368428,0.0677213668823241,,,,
Nationally Determined Contributions (NDCs),France,France,FRA,2023,0.206862449645996,-0.0414278109868367,,,,
Nationally Determined Contributions (NDCs),Germany,Germany,DEU,2023,0.4384779731432597,-0.0364474058151244,,,,
Nationally Determined Contributions (NDCs),Greece,Greece,GRC,2023,0.416429328576972,0.1517494519551595,,,,
Nationally Determined Contributions (NDCs),Hong Kong,Hong Kong,HKG,2023,0.0523052215576171,0.5353285471598307,,,,
Nationally Determined Contributions (NDCs),Hungary,Hungary,HUN,2023,0.4392155011494953,0.6608275771141052,,,,
Nationally Determined Contributions (NDCs),India,India,IND,2023,0.3668169975280761,0.4508748849232991,,,,
Nationally Determined Contributions (NDCs),Indonesia,Indonesia,IDN,2023,0.4094911615053813,0.4753764073053996,,,,
Nationally Determined Contributions (NDCs),Ireland,Ireland,IRL,2023,0.3525223731994629,-0.1977618932723998,,,,
Nationally Determined Contributions (NDCs),Italy,Italy,ITA,2023,0.5411298473676044,0.0859415928522746,,,,
Nationally Determined Contributions (NDCs),Japan,Japan,JPN,2023,0.4004884163538615,-0.1748432318369547,,,,
Nationally Determined Contributions (NDCs),Latvia,Latvia,LVA,2023,0.6159849762916564,0.0134096542994181,,,,
Nationally Determined Contributions (NDCs),Lithuania,Lithuania,LTU,2023,0.5234193603197735,0.092678666114807,,,,
Nationally Determined Contributions (NDCs),Malaysia,Malaysia,MYS,2023,0.100404401620229,0.3643135627110799,,,,
Nationally Determined Contributions (NDCs),Mexico,Mexico,MEX,2023,0.3843666712443034,0.4196065664291382,,,,
Nationally Determined Contributions (NDCs),Netherlands,Netherlands,NLD,2023,0.2780731916427612,-0.054713209470113,,,,
Nationally Determined Contributions (NDCs),New Zealand,New Zealand,NZL,2023,0.6734273036321002,0.2320180137952169,,,,
Nationally Determined Contributions (NDCs),Norway,Norway,NOR,2023,0.1887338161468505,0.0174694856007893,,,,
Nationally Determined Contributions (NDCs),Poland,Poland,POL,2023,0.3807113965352376,0.3878755370775859,,,,
Nationally Determined Contributions (NDCs),Portugal,Portugal,PRT,2023,0.3123027284940083,-3.826618194585629e-05,,,,
Nationally Determined Contributions (NDCs),Romania,Romania,ROU,2023,0.3398527304331462,0.0694152514139811,,,,
Nationally Determined Contributions (NDCs),Russia,Russia,RUS,2023,0.3907963236172994,0.0022985736529032,,,,
Nationally Determined Contributions (NDCs),Singapore,Singapore,SGP,2023,0.1524104674657185,0.5459703306357065,,,,
Nationally Determined Contributions (NDCs),Slovakia,Slovakia,SVK,2023,0.579527775446574,0.2413065830866495,,,,
Nationally Determined Contributions (NDCs),Slovenia,Slovenia,SVN,2023,0.7007521390914917,0.2499881585439046,,,,
Nationally Determined Contributions (NDCs),South Africa,South Africa,ZAF,2023,0.2569482723871867,0.1745212872823079,,,,
Nationally Determined Contributions (NDCs),South Korea,South Korea,KOR,2023,0.6804695328076681,0.3292599121729532,,,,
Nationally Determined Contributions (NDCs),Spain,Spain,ESP,2023,0.3720173239707947,0.017214298248291,,,,
Nationally Determined Contributions (NDCs),Sweden,Sweden,SWE,2023,0.3103884855906169,-0.1087289253870645,,,,
Nationally Determined Contributions (NDCs),Switzerland,Switzerland,CHE,2023,0.2654468715190887,0.227859487136205,,,,
Nationally Determined Contributions (NDCs),Taiwan,Taiwan,TWN,2023,0.3118456800778706,0.4005738099416096,,,,
Nationally Determined Contributions (NDCs),Turkey,Turkey,TUR,2023,0.4475008646647134,0.3302585283915202,,,,
Nationally Determined Contributions (NDCs),United Kingdom,United Kingdom,GBR,2023,0.6635846296946206,0.1775266925493876,,,,
Nationally Determined Contributions (NDCs),United States,United States,USA,2023,0.8021877606709799,-0.0085117816925048,,,,
Nationally Determined Contributions (NDCs),Viet Nam,Viet Nam,VNM,2023,0.4537004828453064,0.5331436991691589,,,,
Net Zero 2050,Argentina,Argentina,ARG,2023,-0.3959032694498698,0.2899608612060547,,,,
Net Zero 2050,Australia,Australia,AUS,2023,0.0008052190144857,-0.1259085337320963,,,,
Net Zero 2050,Austria,Austria,AUT,2023,0.6304652690887452,0.0175429979960123,,,,
Net Zero 2050,Belgium,Belgium,BEL,2023,0.3764163255691528,-0.3072553078333537,,,,
Net Zero 2050,Brazil,Brazil,BRA,2023,0.0200685660044352,0.466166337331136,,,,
Net Zero 2050,Bulgaria,Bulgaria,BGR,2023,1.5855922003587086,0.1767808993657429,,,,
Net Zero 2050,Canada,Canada,CAN,2023,0.4036854306856791,0.1826999187469482,,,,
Net Zero 2050,Chile,Chile,CHL,2023,0.0856454372406005,0.169866402943929,,,,
Net Zero 2050,China,China,CHN,2023,1.7911730691169698,-0.5838437080383301,,,,
Net Zero 2050,Croatia,Croatia,HRV,2023,1.0130420525868733,0.2282241582870483,,,,
Net Zero 2050,Czech Republic,Czech Republic,CZE,2023,0.513027270634969,0.4633187452952067,,,,
Net Zero 2050,Denmark,Denmark,DNK,2023,0.3056538899739583,-0.0172415177027384,,,,
Net Zero 2050,Egypt,Egypt,EGY,2023,2.9481166203816733,0.3578234513600668,,,,
Net Zero 2050,Estonia,Estonia,EST,2023,1.3163657585779824,0.0031193494796752,,,,
Net Zero 2050,Finland,Finland,FIN,2023,0.3533279101053874,0.0402502218882242,,,,
Net Zero 2050,France,France,FRA,2023,0.1669195493062337,-0.0786019961039225,,,,
Net Zero 2050,Germany,Germany,DEU,2023,0.5939773718516033,-0.0221505959828694,,,,
Net Zero 2050,Greece,Greece,GRC,2023,0.5963993500918149,-0.00110658009847,,,,
Net Zero 2050,Hong Kong,Hong Kong,HKG,2023,0.8628243207931519,0.2907471656799316,,,,
Net Zero 2050,Hungary,Hungary,HUN,2023,0.3546172777811686,0.5590042471885681,,,,
Net Zero 2050,India,India,IND,2023,0.4372116327285766,0.4228358268737793,,,,
Net Zero 2050,Indonesia,Indonesia,IDN,2023,0.0352616508801778,0.4365815321604411,,,,
Net Zero 2050,Ireland,Ireland,IRL,2023,0.2575985590616862,-0.1631153623263041,,,,
Net Zero 2050,Italy,Italy,ITA,2023,0.7589401205380758,0.0133308966954549,,,,
Net Zero 2050,Japan,Japan,JPN,2023,0.6335328420003257,-0.3561833202838897,,,,
Net Zero 2050,Latvia,Latvia,LVA,2023,1.1076854864756267,-0.0424456596374511,,,,
Net Zero 2050,Lithuania,Lithuania,LTU,2023,0.6951594948768616,0.0250718196233113,,,,
Net Zero 2050,Malaysia,Malaysia,MYS,2023,-1.1063095865150292,0.1470751166343688,,,,
Net Zero 2050,Mexico,Mexico,MEX,2023,0.377718726793925,0.386155088742574,,,,
Net Zero 2050,Netherlands,Netherlands,NLD,2023,0.3643433252970378,-0.0778627196947733,,,,
Net Zero 2050,New Zealand,New Zealand,NZL,2023,0.3402152061462402,0.1981458067893981,,,,
Net Zero 2050,Norway,Norway,NOR,2023,0.361523946126302,0.0139193336168924,,,,
Net Zero 2050,Poland,Poland,POL,2023,0.3963929414749146,0.3062644799550374,,,,
Net Zero 2050,Portugal,Portugal,PRT,2023,0.4009148081143697,-0.1809455156326294,,,,
Net Zero 2050,Romania,Romania,ROU,2023,0.3604050079981486,-0.0050620635350545,,,,
Net Zero 2050,Russia,Russia,RUS,2023,1.1037562290827434,0.0019802252451578,,,,
Net Zero 2050,Singapore,Singapore,SGP,2023,1.0037092765172322,0.1658680538336436,,,,
Net Zero 2050,Slovakia,Slovakia,SVK,2023,1.0310039122899373,0.1677774985631307,,,,
Net Zero 2050,Slovenia,Slovenia,SVN,2023,0.9331010580062866,0.2179212967554728,,,,
Net Zero 2050,South Africa,South Africa,ZAF,2023,0.329211672147115,0.0994234085083007,,,,
Net Zero 2050,South Korea,South Korea,KOR,2023,0.4702011744181315,0.2668880224227905,,,,
Net Zero 2050,Spain,Spain,ESP,2023,0.5202602942784627,-0.065897782643636,,,,
Net Zero 2050,Sweden,Sweden,SWE,2023,0.451724648475647,-0.1845558881759643,,,,
Net Zero 2050,Switzerland,Switzerland,CHE,2023,0.2496392230192819,0.2188794116179148,,,,
Net Zero 2050,Taiwan,Taiwan,TWN,2023,0.0617765684922536,0.3685163060824076,,,,
Net Zero 2050,Turkey,Turkey,TUR,2023,-0.125584602355957,0.3192676703135172,,,,
Net Zero 2050,United Kingdom,United Kingdom,GBR,2023,1.0823159615198772,0.1633712251981099,,,,
Net Zero 2050,United States,United States,USA,2023,1.6905381679534912,-0.0445851286252339,,,,
Net Zero 2050,Viet Nam,Viet Nam,VNM,2023,2.303832530975342,0.3364893396695455,,,,
Below 2C,Argentina,Argentina,ARG,2024,-0.1345621744791666,0.1977304617563883,,,,
Below 2C,Australia,Australia,AUS,2024,0.1294456124305725,0.0456481377283731,,,,
Below 2C,Austria,Austria,AUT,2024,0.0810197591781616,0.0728362003962198,,,,
Below 2C,Belgium,Belgium,BEL,2024,0.0689070721467335,-0.1017677386601765,,,,
Below 2C,Brazil,Brazil,BRA,2024,0.0240792433420816,0.3595873117446899,,,,
Below 2C,Bulgaria,Bulgaria,BGR,2024,0.0683401425679524,0.2064974308013915,,,,
Below 2C,Canada,Canada,CAN,2024,0.0811981558799743,0.510094960530599,,,,
Below 2C,Chile,Chile,CHL,2024,-0.1047594745953877,0.1531720558802286,,,,
Below 2C,China,China,CHN,2024,0.7706851909557977,-0.3844352960586548,,,,
Below 2C,Croatia,Croatia,HRV,2024,0.1218164165814717,0.2069391409556071,,,,
Below 2C,Czech Republic,Czech Republic,CZE,2024,-0.0211683710416158,0.6018854777018229,,,,
Below 2C,Denmark,Denmark,DNK,2024,0.0451621462901433,0.074004570643107,,,,
Below 2C,Egypt,Egypt,EGY,2024,1.101545333862305,0.2676346699396769,,,,
Below 2C,Estonia,Estonia,EST,2024,0.0522764722506205,0.052519917488098,,,,
Below 2C,Finland,Finland,FIN,2024,-0.033314178387324,0.1744152704874674,,,,
Below 2C,France,France,FRA,2024,0.0928517778714497,-0.0643554131189982,,,,
Below 2C,Germany,Germany,DEU,2024,0.0801204442977905,0.0316602786382038,,,,
Below 2C,Greece,Greece,GRC,2024,0.0472273627916972,0.4078973929087321,,,,
Below 2C,Hong Kong,Hong Kong,HKG,2024,0.3154579202334086,0.2866348425547282,,,,
Below 2C,Hungary,Hungary,HUN,2024,-0.0629123051961262,0.7088028192520142,,,,
Below 2C,India,India,IND,2024,-0.003796895345052,0.3108137448628743,,,,
Below 2C,Indonesia,Indonesia,IDN,2024,-0.0779391924540201,0.3211505810419718,,,,
Below 2C,Ireland,Ireland,IRL,2024,0.2015375892321268,-0.1319016218185424,,,,
Below 2C,Italy,Italy,ITA,2024,0.0604104200998942,0.2136969168980916,,,,
Below 2C,Japan,Japan,JPN,2024,0.1269287467002868,-0.0003136495749155,,,,
Below 2C,Latvia,Latvia,LVA,2024,0.1041692296663919,0.0331495602925617,,,,
Below 2C,Lithuania,Lithuania,LTU,2024,0.0527546306451161,0.0857321818669636,,,,
Below 2C,Malaysia,Malaysia,MYS,2024,-0.1936697661876678,0.2735264499982198,,,,
Below 2C,Mexico,Mexico,MEX,2024,0.1191429297129313,0.2605379422505696,,,,
Below 2C,Netherlands,Netherlands,NLD,2024,0.0398737589518229,0.0396328767140706,,,,
Below 2C,New Zealand,New Zealand,NZL,2024,0.0039936105410257,0.1580225626627604,,,,
Below 2C,Norway,Norway,NOR,2024,0.0327602624893188,0.0331132411956786,,,,
Below 2C,Poland,Poland,POL,2024,-0.0300373236338297,0.4209685126940409,,,,
Below 2C,Portugal,Portugal,PRT,2024,0.012769063313802,0.1430871089299519,,,,
Below 2C,Romania,Romania,ROU,2024,0.001838723818461,0.1009790897369384,,,,
Below 2C,Russia,Russia,RUS,2024,0.1259926954905191,0.0817615787188211,,,,
Below 2C,Singapore,Singapore,SGP,2024,0.3951054712136586,0.262846847375234,,,,
Below 2C,Slovakia,Slovakia,SVK,2024,0.0247337222099304,0.1846259832382202,,,,
Below 2C,Slovenia,Slovenia,SVN,2024,0.1457175215085347,0.1695318222045898,,,,
Below 2C,South Africa,South Africa,ZAF,2024,-0.0150126218795776,0.25164794921875,,,,
Below 2C,South Korea,South Korea,KOR,2024,-0.1504703362782796,0.2508080005645751,,,,
Below 2C,Spain,Spain,ESP,2024,0.0682641863822937,0.0996885299682617,,,,
Below 2C,Sweden,Sweden,SWE,2024,0.0695628325144449,0.0272538661956787,,,,
Below 2C,Switzerland,Switzerland,CHE,2024,0.0297297189633051,0.1529862483342488,,,,
Below 2C,Taiwan,Taiwan,TWN,2024,-0.0256006121635437,0.2603965401649475,,,,
Below 2C,Turkey,Turkey,TUR,2024,-0.0348374048868814,0.214985450108846,,,,
Below 2C,United Kingdom,United Kingdom,GBR,2024,0.3918244342009226,0.2844052712122599,,,,
