country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Kingdom of Belgium,solar pv,2012,0.038,BEL,2.20573636168733,40074.4928091814,7.542,11106932.0,1,0,0,626227635192.43
Plurinational State of Bolivia,solar pv,2023,0.212025,BOL,-0.505250428968196,3226.08755673382,3.024,12244159.0,1,0,0,120531135606.727
Republic of Zambia,solar pv,2023,0.37546,ZMB,7.09462960303757,1330.85998216751,5.905,20723965.0,1,0,0,76129157926.5195
Federative Republic of Brazil,solar pv,2023,0.102636,BRA,4.65899475870381,9258.05329063487,7.947,211140729.0,1,0,0,4015524861483.22
Federative Republic of Brazil,solar pv,2013,0.048,BRA,7.50456453292993,9366.73932481225,7.071,198478299.0,1,0,0,3819021377717.48
Federative Republic of Brazil,solar pv,2014,0.057,BRA,7.84670974352809,9338.34278324839,6.755,200085127.0,1,0,0,3838267555171.56
Federative Republic of Brazil,solar pv,2015,0.054,BRA,7.56617501207116,8936.19661756825,8.538,201675532.0,1,0,0,3702171669286.63
Federative Republic of Brazil,solar pv,2019,0.1225,BRA,4.22425886899158,8771.44051336065,11.936,207455459.0,1,0,0,3738061272790.16
Federative Republic of Brazil,solar pv,2021,0.13,BRA,13.047270877833,8799.22945854927,13.158,209550294.0,1,0,0,3787769507879.98
Federative Republic of Brazil,solar pv,2022,0.1125,BRA,8.5702819532232,9032.08481611491,9.231,210306415.0,1,0,0,3902034936764.09
Federative Republic of Brazil,wind offshore,2022,0.11,BRA,8.5702819532232,9032.08481611491,9.231,210306415.0,0,0,1,3902034936764.09
Federative Republic of Brazil,solar pv,2020,0.07615,BRA,6.47249960755747,8435.01143297182,13.697,208660842.0,1,0,0,3615574021216.43
Federative Republic of Brazil,wind onshore,2020,0.0681666666666666,BRA,6.47249960755747,8435.01143297182,13.697,208660842.0,0,1,0,3615574021216.43
Republic of Bulgaria,wind onshore,2014,0.1,BGR,1.34078287386647,6802.71036465632,11.424,7223938.0,0,1,0,165859007426.785
Republic of Bulgaria,wind onshore,2019,0.055,BGR,5.23548704810747,8206.78129446627,4.23,6975761.0,0,1,0,193217973995.305
Republic of Bulgaria,solar pv,2019,0.055,BGR,5.23548704810747,8206.78129446627,4.23,6975761.0,1,0,0,193217973995.305
Republic of Bulgaria,wind onshore,2013,0.1,BGR,0.0719518095394278,6700.53599670634,12.941,7265115.0,0,1,0,164299071559.352
Republic of Bulgaria,wind onshore,2015,0.0825,BGR,2.94774648723617,7078.86032298969,9.143,7177991.0,0,1,0,171494155538.452
Republic of Bulgaria,solar pv,2015,0.0825,BGR,2.94774648723617,7078.86032298969,9.143,7177991.0,1,0,0,171494155538.452
Republic of Bulgaria,solar pv,2020,0.0911,BGR,4.34103862385629,7990.69254981114,5.125,6934015.0,1,0,0,187004591275.451
